"prix","dh","stringAsFactors"
"3 200","DH",FALSE
"500","DH",FALSE
"1 700","DH",FALSE
"3 200","DH",FALSE
"1 800","DH",FALSE
"1 000","DH",FALSE
"1 700","DH",FALSE
"1 800","DH",FALSE
"1 950","DH",FALSE
"1 300","DH",FALSE
"1 700","DH",FALSE
"1 600","DH",FALSE
"1 400","DH",FALSE
"2 700","DH",FALSE
"1 400","DH",FALSE
"1 000","DH",FALSE
"2 000","DH",FALSE
"1 300","DH",FALSE
"1 300","DH",FALSE
"2 000","DH",FALSE
"2 300","DH",FALSE
"2 300","DH",FALSE
"2 100","DH",FALSE
"2 200","DH",FALSE
"1 800","DH",FALSE
"1 400","DH",FALSE
"6 500","DH",FALSE
"1 800","DH",FALSE
"1 400","DH",FALSE
"1 400","DH",FALSE
"2 000","DH",FALSE
"11 111 111","DH",FALSE
"2 000","DH",FALSE
"1 300","DH",FALSE
"1 200","DH",FALSE
"1 400","DH",FALSE
"1 800","DH",FALSE
"2 500","DH",FALSE
"1 000","DH",FALSE
"1 600","DH",FALSE
"1 000","DH",FALSE
"2 200","DH",FALSE
"2 000","DH",FALSE
"1 600","DH",FALSE
"2 000","DH",FALSE
"1 700","DH",FALSE
"1 500","DH",FALSE
"1 500","DH",FALSE
"500","DH",FALSE
"2 500","DH",FALSE
"1 300","DH",FALSE
"1 800","DH",FALSE
"1 200","DH",FALSE
"2 000","DH",FALSE
"1 700","DH",FALSE
"1 300","DH",FALSE
"4 000","DH",FALSE
"1 600","DH",FALSE
"2 500","DH",FALSE
"2 500","DH",FALSE
"2 500","DH",FALSE
"600","DH",FALSE
"1 800","DH",FALSE
"850","DH",FALSE
"1 700","DH",FALSE
"2 000","DH",FALSE
"800","DH",FALSE
"800","DH",FALSE
"1 000","DH",FALSE
"600","DH",FALSE
