Gender,Age,VillePays,Filliere,Mention,Bourse,ObtentionBac,Inscription,Niveau,Etat
1,19,1,1,2,0,2021,2021,0,0
1,19,1,3,4,1,2021,2021,0,0
1,19,1,1,3,1,2021,2021,0,0
2,19,1,1,4,1,2021,2021,0,0
2,17,1,1,4,1,2021,2021,0,0
2,19,1,1,4,1,2021,2021,0,0
1,18,1,3,4,1,2021,2021,0,0
2,20,1,1,2,0,2021,2021,0,0
1,19,1,1,3,1,2021,2021,0,0
2,18,1,3,2,0,2021,2021,0,0
1,19,1,1,4,1,2021,2021,0,0
1,20,1,1,4,1,2021,2021,0,0
2,19,1,3,3,1,2021,2021,0,0
1,19,1,1,2,0,2021,2021,0,0
2,19,1,1,4,1,2021,2021,0,0
2,18,1,1,4,1,2021,2021,0,0
1,18,1,4,4,1,2021,2021,0,0
1,20,1,1,4,1,2021,2021,0,0
1,19,1,1,4,1,2021,2021,0,0
2,18,1,1,4,1,2021,2021,0,0
2,17,1,1,4,1,2021,2021,0,0
2,18,1,1,4,1,2021,2021,0,0
2,19,1,1,4,1,2021,2021,0,0
1,17,1,1,4,1,2021,2021,0,0
1,19,1,1,4,1,2021,2021,0,0
2,20,1,5,4,1,2021,2021,0,0
1,18,1,3,4,1,2021,2021,0,0
1,18,1,2,1,0,2021,2021,0,0
1,18,1,1,4,1,2021,2021,0,0
1,20,1,1,3,1,2021,2021,0,0
1,19,1,1,4,1,2021,2021,0,0
1,18,1,2,2,0,2021,2021,0,0
1,18,1,1,4,1,2021,2021,0,0
1,18,1,2,4,1,2021,2021,0,0
1,18,1,1,3,1,2021,2021,0,0
2,19,1,1,3,1,2021,2021,0,0
1,20,1,5,4,1,2021,2021,0,0
1,20,1,3,4,1,2021,2021,0,0
2,19,1,1,3,1,2021,2021,0,0
2,19,1,3,4,1,2021,2021,0,0
1,18,1,3,4,1,2021,2021,0,0
1,18,1,1,2,0,2021,2021,0,0
1,18,1,1,2,0,2021,2021,0,0
1,20,1,3,4,1,2021,2021,0,0
1,18,1,1,3,1,2021,2021,0,0
1,18,1,1,3,1,2021,2021,0,0
1,20,1,1,4,1,2021,2021,0,0
1,19,1,1,2,0,2021,2021,0,0
2,18,1,1,3,1,2021,2021,0,0
1,19,1,1,3,1,2021,2021,0,0
1,18,1,2,2,0,2021,2021,0,0
2,18,1,1,3,1,2021,2021,0,0
1,19,2,1,4,1,2021,2021,0,0
1,18,2,1,4,1,2021,2021,0,0
1,18,2,1,3,1,2021,2021,0,0
1,18,2,1,4,1,2021,2021,0,0
2,18,2,2,1,0,2021,2021,0,0
2,18,2,1,3,1,2021,2021,0,0
1,19,2,1,4,1,2021,2021,0,0
1,17,2,3,4,1,2021,2021,0,0
1,18,2,1,4,1,2021,2021,0,0
1,19,2,5,4,1,2021,2021,0,0
2,18,2,1,2,0,2021,2021,0,0
2,17,2,5,3,1,2021,2021,0,0
2,18,2,5,1,0,2021,2021,0,0
2,19,3,3,4,1,2021,2021,0,0
2,19,3,3,3,1,2021,2021,0,0
2,17,3,3,4,1,2021,2021,0,0
2,19,3,3,4,1,2021,2021,0,0
2,18,3,3,4,1,2021,2021,0,0
1,19,3,1,3,1,2021,2021,0,0
