wage,rent,food,transport,AFFORD
3117,897,914,335,0
3293,1188,537,285,0
3203,1336,401,249,0
5670,1173,882,271,0
4112,832,575,238,0
6654,547,597,375,1
4868,1150,966,221,0
7325,1183,667,216,0
4346,552,688,250,0
7169,1129,620,223,0
3206,1232,412,312,0
4764,972,422,201,0
7758,564,764,336,1
4293,649,478,223,0
3742,1048,822,324,0
4799,616,925,343,0
7149,575,826,268,1
5987,907,455,241,0
5841,652,576,334,0
3186,1034,925,215,0
7522,544,757,209,1
3407,547,586,332,0
6023,562,906,229,0
4283,942,622,199,0
7459,1362,866,262,0
6259,1207,470,217,0
7483,724,459,359,1
7607,758,974,339,1
6021,1376,942,198,0
5790,1022,782,378,0
7393,1281,800,203,0
6702,1120,778,262,0
4659,1279,506,388,0
3379,901,583,193,0
5664,1257,757,338,0
5656,1122,899,260,0
3399,530,513,196,0
6313,917,555,298,0
7406,1094,738,249,0
6215,681,654,300,0
6457,928,420,220,0
5107,1267,469,194,0
4022,850,857,329,0
7450,840,993,381,1
5229,1086,560,188,0
3092,1072,975,351,0
6141,684,511,323,0
4051,956,966,364,0
3511,760,848,180,0
6733,725,752,261,0
4426,1323,961,204,0
5284,1254,565,276,0
3777,1009,604,240,0
4719,627,537,267,0
5597,1363,752,365,0
6630,1035,453,259,0
3965,1163,929,345,0
3559,981,515,312,0
7792,743,813,227,1
4744,581,633,287,0
6318,906,611,272,0
6010,631,781,241,0
3460,873,977,204,0
4406,1212,561,291,0
7867,623,511,393,1
6959,1179,735,233,0
6980,929,526,286,0
4361,913,490,342,0
4055,952,871,383,0
3563,1363,961,206,0
3489,1390,413,195,0
4906,611,503,286,0
7469,1184,589,210,0
4491,560,659,304,0
3825,917,514,196,0
5347,832,822,220,0
4766,623,460,276,0
6854,863,811,365,1
5802,1006,472,379,0
5685,1110,938,329,0
4919,701,488,203,0
3383,991,950,264,0
5141,1241,627,286,0
6408,1152,786,292,0
6631,1244,781,238,0
4118,1027,580,362,0
4079,555,521,312,0
5436,995,682,277,0
4901,796,442,374,0
3029,581,844,328,0
7190,970,746,206,0
5249,888,806,325,0
3572,1184,570,354,0
5014,858,968,231,0
4225,1351,918,296,0
5130,572,577,240,0
7181,882,906,223,1
4027,820,781,276,0
4333,614,697,270,0
3905,1148,929,263,0
5314,820,412,327,0
3452,548,969,333,0
4674,557,618,318,0
5038,842,867,382,0
7005,998,707,186,0
6968,705,728,216,1
7759,925,663,263,1
4310,1272,496,202,0
4356,512,621,297,0
6656,501,650,222,1
4083,966,933,240,0
5406,1013,813,285,0
6956,989,586,373,0
7738,645,698,273,1
4649,1179,479,326,0
4064,1400,426,368,0
6371,501,490,196,0
3088,618,800,196,0
4014,952,851,337,0
3969,863,892,290,0
4234,1120,706,221,0
5991,1010,425,220,0
4670,1397,821,283,0
6056,1217,495,281,0
7690,1244,443,278,0
7996,1113,487,375,0
4777,591,699,298,0
4101,758,807,286,0
5738,1396,881,326,0
5522,788,698,355,0
5599,697,722,194,0
4918,932,675,234,0
4636,851,889,230,0
5012,1016,589,340,0
4626,1182,961,343,0
4144,1315,941,222,0
7766,1246,799,291,0
4885,592,763,310,0
4598,677,797,366,0
7439,692,555,218,1
3684,568,677,294,0
7120,1261,799,268,0
5480,1094,775,297,0
4016,579,650,257,0
5304,844,738,301,0
7748,1022,437,328,0
5159,610,450,303,0
4628,788,993,268,0
5901,690,536,305,0
4341,1188,416,326,0
7537,1377,798,273,0
3505,827,528,334,0
7501,1140,921,265,1
3142,649,907,376,0
3854,995,702,202,0
4032,1302,464,221,0
5054,707,449,352,0
4517,915,690,235,0
4032,552,649,185,0
3267,988,865,284,0
6622,983,731,378,0
3616,1032,438,235,0
7581,583,786,248,1
4005,691,601,291,0
3931,1112,670,213,0
4809,1268,411,364,0
7820,1045,927,369,1
6129,955,667,385,0
6391,1385,773,222,0
3012,849,831,349,0
7410,1252,813,237,0
7381,575,640,371,1
3396,1177,451,319,0
3443,707,945,249,0
6486,883,407,384,0
6784,1184,439,338,0
3489,1101,429,193,0
3053,1216,944,248,0
5219,530,819,375,0
3067,802,743,290,0
7781,797,894,364,1
7677,731,425,256,1
5982,1358,705,324,0
6566,1124,907,365,0
5224,701,851,180,0
4560,984,923,259,0
7356,1317,989,219,0
7388,1259,861,314,0
3782,739,831,183,0
7984,1064,739,246,1
4828,1300,523,366,0
6030,523,580,361,0
5739,634,754,344,0
6531,627,781,357,1
7912,824,900,387,1
7666,1340,877,316,0
4710,824,651,182,0
3153,1364,978,293,0
6258,1011,475,266,0
6096,839,667,301,0
7914,1108,908,337,1
7590,1007,483,270,0
3278,572,753,329,0
6673,1301,616,352,0
6674,853,641,314,0
6606,1111,926,208,0
3723,746,757,322,0
5270,671,964,294,0
5123,746,683,264,0
4084,580,792,251,0
6274,1308,831,279,0
7193,642,646,393,1
5909,829,790,376,0
5904,1141,760,251,0
6355,970,571,381,0
7549,1059,904,233,1
6069,862,687,264,0
3895,1275,548,255,0
6062,687,507,248,0
4838,932,736,191,0
3806,1237,825,377,0
5005,1306,416,241,0
5932,1219,425,288,0
5291,1369,437,228,0
6717,961,694,378,0
3759,1039,729,189,0
4992,921,430,188,0
3293,537,650,226,0
3819,810,657,291,0
7035,1217,642,318,0
3795,656,416,350,0
4358,1003,829,396,0
7754,674,904,269,1
6474,951,618,343,0
5560,1268,587,255,0
4732,573,861,310,0
4725,856,768,312,0
5994,874,405,225,0
6149,704,751,290,0
5525,611,489,386,0
3012,1114,686,318,0
5656,742,992,284,0
5806,1157,700,344,0
6700,629,873,381,1
6486,1321,692,228,0
5773,1225,947,200,0
6805,689,650,353,1
3980,679,580,245,0
6850,1085,559,207,0
3791,622,931,212,0
6747,917,807,399,0
3128,1126,519,327,0
3541,1263,624,332,0
5949,1283,472,331,0
5701,595,668,312,0
7395,992,401,291,0
3960,1159,634,335,0
3078,1355,830,297,0
4649,998,784,324,0
7579,1355,886,181,0
5241,1388,654,197,0
4040,1026,889,311,0
5911,1340,684,265,0
7798,840,478,392,1
6501,966,736,182,0
7773,934,750,383,1
6537,1116,674,222,0
7247,501,461,351,1
3909,790,486,364,0
7677,1093,531,247,0
