wage,rent,food,transport,AFFORD
12162,1995,1170,534,0
8066,1084,1267,456,0
14770,1058,1225,545,1
8488,1319,709,585,0
12688,1284,1392,430,1
12808,1268,719,556,1
9098,1623,1366,325,0
12452,1955,1243,534,0
9901,1740,1367,390,1
8955,1600,1128,348,1
11010,1099,984,343,1
12813,1651,1276,478,1
8852,1149,1200,360,0
12408,1373,938,356,0
11586,1669,1419,566,1
12718,1869,1251,413,0
11318,1479,1236,473,0
10769,1398,954,309,0
9172,1514,908,426,0
10296,1239,1492,525,0
13861,1975,1321,374,0
8927,957,805,487,1
14296,1491,937,516,0
11377,1676,1413,573,0
8332,1947,711,414,1
14570,1860,750,414,1
8539,1985,1195,476,0
13637,1085,1067,363,1
12336,1290,1010,527,0
9439,1149,946,562,1
12843,1121,743,456,1
8693,1353,970,552,1
8389,1138,1361,477,0
9106,1050,774,340,1
8856,1943,1271,411,1
13048,1341,1341,317,0
10161,1247,943,357,0
12037,877,1350,548,1
11624,1240,1343,332,1
13669,1690,607,384,1
14230,1984,973,487,0
10355,914,621,302,0
8938,1792,1175,342,0
11497,1131,670,513,1
11124,958,784,586,1
12804,948,872,496,0
8374,1560,635,369,1
14787,1335,1472,399,1
8428,1622,1354,409,1
10254,1435,1176,567,1
13901,1513,970,309,0
11322,1316,625,472,1
11088,1186,1010,453,0
14888,878,1242,552,1
13733,1972,720,347,1
13027,1497,1085,552,1
12066,825,791,371,0
8860,1981,611,442,1
11619,1570,1414,385,1
10678,1018,1058,476,1
8560,1978,1371,309,0
9771,1714,1303,432,0
12971,1269,669,477,0
14736,1122,967,425,1
8802,1562,961,348,0
9620,1945,815,303,0
12362,1341,1359,595,1
11824,1228,1420,529,1
12423,1729,804,476,1
9641,1754,701,599,0
11766,913,1299,579,0
14033,1147,1090,312,1
11031,1445,761,579,0
11919,1904,1282,599,0
11482,1039,873,456,0
11225,1525,812,589,1
8487,1607,712,507,1
10097,1650,1228,520,1
13358,1556,1418,513,1
8769,1710,867,425,1
10005,891,1436,316,0
9583,1446,1308,589,0
12596,1722,1293,323,1
14751,1079,1188,576,0
10995,814,1395,559,0
10544,1929,1172,375,1
12792,1356,1222,352,0
11443,861,1096,345,0
14796,856,883,412,0
10640,957,810,470,1
9593,811,1484,498,0
8445,1336,669,482,1
10057,1067,1447,341,0
11714,1343,1061,559,1
8935,1206,1225,313,1
12406,1965,1480,377,1
8977,959,625,495,0
9619,1045,1233,570,1
8962,1694,713,420,0
13621,1516,782,422,0
10262,1314,1353,473,0
9148,865,845,531,0
9793,1812,705,323,0
14786,1096,1483,373,0
11711,909,1182,325,0
8554,1987,1095,320,1
14246,1404,708,507,0
12560,1739,859,553,0
10516,1089,1459,365,1
14015,1825,931,375,0
14940,1776,696,329,1
11505,1574,935,552,0
8675,1975,624,449,1
13117,1841,1111,347,1
9665,1138,895,477,1
11745,1396,734,347,0
8146,1897,896,401,0
14975,1475,807,311,0
12476,1227,971,363,1
14082,1733,833,395,1
14237,917,616,351,1
10504,1997,1306,550,0
14123,1725,1240,318,1
12663,1051,1030,408,0
8780,1162,1265,553,0
10354,1416,1067,502,0
8061,1297,676,500,0
10090,1529,1074,405,1
14004,801,977,554,1
11160,1932,1024,356,1
14625,1533,1224,414,0
