wage,costliving,gender,age,branch,userexperience,city,competence,merite,afford1,afford2,afford3
8501,1190,2,18,1,55,4,2,4,0,0,1
9246,895,1,18,1,86,1,2,1,0,0,0
5994,2086,1,18,2,32,4,2,2,0,0,0
14692,868,1,17,1,47,4,4,1,1,1,1
14940,1274,1,19,2,22,3,1,2,1,1,1
10371,1542,1,18,1,12,4,2,3,0,0,1
13725,1662,2,20,2,92,2,2,2,0,0,0
10319,1088,1,18,2,28,5,3,4,0,1,1
8808,1960,1,19,1,99,4,2,2,0,0,0
11781,856,1,17,1,14,4,1,1,0,0,0
4744,1047,1,21,1,59,3,1,4,0,0,0
9331,1130,1,20,2,36,6,1,2,0,0,0
14133,1627,2,17,1,90,6,1,3,0,1,1
8824,1914,2,17,1,13,2,4,2,0,0,0
8701,2038,2,21,2,99,5,1,3,0,0,0
8748,1833,1,19,2,51,5,3,4,0,0,0
10592,1042,1,20,2,74,2,1,2,0,0,0
11737,1077,2,18,2,65,4,4,1,0,0,0
14610,968,2,17,1,60,1,2,1,1,1,1
12545,1418,1,20,1,23,6,4,1,0,0,0
13423,1726,2,17,2,15,3,1,3,0,1,1
8183,1945,1,19,1,1,2,4,2,0,0,0
5579,1069,2,21,1,11,4,1,4,0,0,0
13008,1944,2,20,2,67,2,4,1,0,0,0
12488,1484,2,18,1,19,1,3,2,0,0,0
12236,1108,1,17,2,24,4,3,2,0,0,0
14608,893,2,18,1,18,4,3,4,1,1,1
4543,1232,1,19,1,53,4,4,3,0,0,0
12559,674,2,19,1,65,6,4,1,1,1,1
11268,1507,1,18,2,95,5,2,3,0,0,1
13561,954,2,17,1,86,6,3,2,1,1,1
11559,964,1,20,2,76,5,2,2,0,0,0
8300,1436,1,17,2,85,5,1,2,0,0,0
7154,732,1,21,2,36,2,1,1,0,0,0
9343,1912,1,19,1,76,4,1,2,0,0,0
11589,1471,2,18,1,51,6,4,3,0,0,1
14029,1180,1,20,2,89,3,3,1,1,1,1
10050,1811,2,17,1,56,1,4,1,0,0,0
10002,1848,2,19,2,48,4,4,1,0,0,0
13331,772,1,19,2,21,6,3,4,1,1,1
9402,1509,1,20,2,49,1,2,2,0,0,0
6467,1471,1,20,1,67,6,3,4,0,0,0
13863,1166,2,20,2,29,6,1,3,0,1,1
5963,1472,2,17,2,93,2,2,2,0,0,0
8879,1721,1,20,1,61,6,3,3,0,0,0
13529,1329,1,21,1,88,2,1,2,0,0,0
13623,1000,2,18,1,23,5,4,4,1,1,1
11823,2014,2,17,2,95,1,3,3,0,0,1
6635,1411,1,17,2,48,3,4,1,0,0,0
13873,1823,2,19,1,11,1,2,4,0,1,1
13917,624,2,19,1,73,3,4,3,1,1,1
6550,710,2,17,2,93,3,1,3,0,0,0
4647,2073,2,17,1,71,3,2,4,0,0,0
6052,1020,2,21,1,52,3,3,4,0,0,0
14517,679,1,21,2,97,6,3,1,1,1,1
7232,1969,1,18,2,99,3,4,2,0,0,0
4333,793,1,17,2,37,3,1,1,0,0,0
10385,1607,2,21,2,73,2,3,2,0,0,0
10254,1317,2,21,1,51,1,2,1,0,0,0
12267,1978,2,21,2,72,1,2,4,0,1,1
5584,1345,2,19,1,54,2,4,1,0,0,0
12424,1116,2,19,1,36,3,4,1,0,0,0
8477,1287,2,20,2,63,6,4,3,0,0,0
10858,1774,2,21,1,11,1,3,2,0,0,0
11416,1417,1,21,1,24,4,1,3,0,0,1
9213,1881,1,17,1,14,3,1,1,0,0,0
8172,1871,1,21,1,10,4,3,2,0,0,0
4051,1953,1,19,1,6,3,3,2,0,0,0
8596,1469,2,17,2,63,4,4,1,0,0,0
9819,1061,2,21,1,41,5,4,3,0,0,1
6643,1111,2,20,2,19,2,3,1,0,0,0
14861,723,2,19,2,55,2,2,4,1,1,1
14492,790,2,21,2,12,1,4,3,1,1,1
14971,1641,1,19,1,80,4,1,3,0,1,1
7267,1542,1,19,1,65,2,3,4,0,0,0
14569,1665,1,19,2,75,6,3,2,0,0,0
14869,1173,1,21,1,12,4,2,3,1,1,1
5728,1236,2,18,1,23,4,3,2,0,0,0
10124,1615,2,17,1,30,2,3,1,0,0,0
7847,1456,2,19,2,93,5,1,1,0,0,0
12015,859,1,21,1,6,1,4,1,0,0,0
14796,1738,2,21,1,52,5,4,2,0,0,0
4255,1629,2,19,1,50,5,2,3,0,0,0
7271,1762,1,19,1,49,6,3,3,0,0,0
9659,2089,2,18,2,49,5,3,2,0,0,0
6571,1925,2,21,2,4,3,2,2,0,0,0
13321,1924,1,21,1,33,1,2,1,0,0,0
7710,1597,1,20,2,92,3,2,3,0,0,0
8352,2008,1,20,1,78,2,3,1,0,0,0
12830,2044,2,19,1,20,3,2,4,0,1,1
14323,1457,1,21,1,65,2,3,1,0,0,0
14754,1334,2,17,2,78,1,1,4,1,1,1
7683,695,2,18,2,26,4,1,4,0,1,1
13628,1445,1,20,1,84,3,2,3,0,1,1
9232,623,2,17,1,57,1,1,4,0,1,1
9082,1884,2,18,1,98,5,3,1,0,0,0
9924,1043,2,18,2,69,2,1,2,0,0,0
4230,1347,1,17,2,94,4,1,4,0,0,0
7971,899,2,18,2,17,3,2,1,0,0,0
5973,1939,2,17,2,9,6,4,3,0,0,0
8274,611,1,17,1,1,3,3,3,0,0,1
10299,914,1,21,2,67,1,2,4,0,1,1
10712,1091,2,18,2,57,3,2,4,0,1,1
13083,1205,2,20,2,29,2,1,3,0,1,1
4888,933,1,20,1,80,5,3,2,0,0,0
9116,1350,1,20,1,51,1,4,4,0,0,1
5260,1113,1,20,2,90,3,3,1,0,0,0
6995,1999,1,21,1,65,5,3,3,0,0,0
11108,1595,2,17,2,7,4,3,1,0,0,0
9850,1419,1,20,2,33,3,3,2,0,0,0
11218,1210,1,19,2,47,4,4,1,0,0,0
12771,1554,2,20,1,9,4,4,3,0,1,1
7619,1948,1,20,2,14,6,1,3,0,0,0
4973,1209,1,19,1,33,5,4,3,0,0,0
5531,1403,1,21,1,91,4,2,1,0,0,0
10273,1768,2,20,1,76,3,4,3,0,0,0
8004,2062,2,19,1,47,6,4,1,0,0,0
11518,1665,2,20,2,92,6,3,3,0,0,1
5555,1559,1,18,1,93,1,4,2,0,0,0
6949,1993,2,17,2,69,4,2,4,0,0,0
4146,1829,2,19,2,79,6,2,4,0,0,0
13471,1112,1,19,1,2,4,4,3,0,1,1
11078,710,1,19,1,36,1,3,1,0,0,0
9710,1745,2,17,1,93,5,2,3,0,0,0
5135,988,1,21,1,18,2,4,2,0,0,0
8528,895,2,19,1,94,5,2,1,0,0,0
7249,1367,2,18,2,86,3,3,2,0,0,0
10495,942,1,18,2,98,2,2,1,0,0,0
4285,786,2,18,2,80,1,2,3,0,0,0
14044,1938,2,21,2,29,6,2,4,0,1,1
4330,1148,2,18,2,20,2,1,2,0,0,0
13117,1011,2,21,2,75,2,3,1,0,0,0
4633,2044,2,17,2,81,2,2,1,0,0,0
12227,887,2,21,1,46,1,3,1,0,0,0
11087,1356,1,21,2,91,6,2,3,0,0,1
7600,1944,2,18,2,90,2,1,3,0,0,0
14197,983,2,17,2,73,2,3,2,1,1,1
8781,1784,2,17,2,27,3,2,2,0,0,0
12623,1213,1,21,2,6,2,2,2,0,0,0
8191,2049,1,18,2,17,1,3,2,0,0,0
7564,752,2,17,1,98,3,1,2,0,0,0
10103,1306,1,17,1,2,3,2,2,0,0,0
11815,964,2,20,2,38,5,4,2,0,0,0
14940,1402,1,20,2,61,1,1,3,1,1,1
8175,1439,2,20,2,55,3,1,3,0,0,0
12319,1189,1,21,2,67,1,1,1,0,0,0
7660,1218,1,19,1,86,3,1,1,0,0,0
14786,1830,2,20,1,98,5,1,1,0,0,0
4840,1780,1,20,2,83,2,1,3,0,0,0
7326,1558,2,21,1,18,4,1,1,0,0,0
8391,946,2,20,1,89,4,4,2,0,0,0
8444,1256,2,20,1,12,3,1,3,0,0,0
10856,1518,1,19,1,89,4,3,1,0,0,0
7269,979,1,20,1,89,5,3,1,0,0,0
6712,1173,2,17,1,41,5,1,2,0,0,0
4629,1709,2,19,1,70,4,4,2,0,0,0
6184,1402,1,18,1,79,3,3,1,0,0,0
14548,2046,1,19,2,40,1,3,4,0,1,1
4663,659,1,19,2,49,3,1,2,0,0,0
8094,1323,2,18,2,97,3,1,1,0,0,0
7223,1538,1,18,2,99,2,3,2,0,0,0
5459,1525,1,19,1,25,4,3,1,0,0,0
10494,1215,2,20,2,72,2,1,1,0,0,0
8629,873,1,20,2,26,2,1,4,0,1,1
5484,645,2,19,2,49,1,3,4,0,0,1
11924,1818,1,21,2,74,6,3,1,0,0,0
14588,667,1,19,2,1,1,2,2,1,1,1
14393,1766,1,21,1,70,6,3,1,0,0,0
12937,924,1,18,2,88,1,2,2,0,0,0
5261,1362,1,21,2,38,1,4,4,0,0,0
11878,1137,1,20,2,95,1,3,2,0,0,0
11027,825,1,20,1,72,3,1,1,0,0,0
4321,1523,2,18,1,80,4,3,3,0,0,0
13240,922,1,18,1,30,1,1,3,1,1,1
12267,834,2,21,1,91,5,1,4,0,1,1
4584,1431,2,18,2,36,1,2,3,0,0,0
10688,1825,2,18,2,54,5,2,2,0,0,0
13939,1527,2,17,1,30,4,4,2,0,0,0
11121,1680,1,20,1,33,5,4,1,0,0,0
10799,1353,2,17,1,59,2,4,3,0,0,1
12137,1924,2,21,2,38,6,1,4,0,1,1
10486,641,2,18,1,33,6,3,1,0,0,0
8182,1669,2,18,2,47,4,1,1,0,0,0
12494,1069,2,21,2,10,6,4,4,0,1,1
10713,1971,1,21,1,35,6,4,3,0,0,0
13790,1961,2,20,2,100,4,4,3,0,1,1
6189,1727,2,18,1,7,4,2,3,0,0,0
8794,693,2,20,2,38,5,1,2,0,0,0
4352,1803,1,21,1,79,2,4,1,0,0,0
5894,751,2,19,2,57,4,2,1,0,0,0
4123,1592,2,18,1,82,3,3,4,0,0,0
13819,1932,2,21,1,67,5,1,3,0,1,1
12537,1240,2,19,2,28,4,3,3,0,1,1
11005,840,1,19,1,32,2,4,2,0,0,0
9059,1032,2,20,1,73,4,1,4,0,1,1
12718,1612,2,19,2,76,1,4,1,0,0,0
9589,1205,2,19,2,85,2,3,3,0,0,1
13834,1202,1,17,2,7,6,3,4,0,1,1
14344,1999,1,21,2,40,2,2,1,0,0,0
12905,1114,2,17,2,90,3,4,3,0,1,1
4118,956,1,20,1,90,6,3,4,0,0,0
6632,1283,2,20,1,94,4,2,3,0,0,0
9578,1864,1,19,1,15,2,4,3,0,0,0
7492,1890,2,19,1,95,5,3,2,0,0,0
8317,1389,1,17,2,15,5,4,2,0,0,0
7750,684,2,18,2,79,6,1,4,0,1,1
7600,1058,1,21,1,96,5,2,4,0,0,1
12182,1341,1,21,1,69,1,2,3,0,1,1
9595,1731,2,19,2,95,1,1,1,0,0,0
7971,844,2,17,2,88,2,4,2,0,0,0
12372,1687,1,20,2,96,4,2,2,0,0,0
14294,1971,1,17,1,29,5,3,1,0,0,0
10221,1249,1,21,1,98,4,2,2,0,0,0
4381,1896,1,18,1,33,6,4,1,0,0,0
10955,2007,1,20,2,78,3,3,3,0,0,0
9177,1271,2,21,1,94,5,3,4,0,0,1
10115,1654,1,17,1,24,3,2,2,0,0,0
7754,918,2,18,2,3,6,1,2,0,0,0
14165,1035,2,19,1,87,5,3,1,1,1,1
12139,786,1,18,1,6,2,3,2,0,0,0
4602,1362,2,18,1,94,6,2,3,0,0,0
8195,1804,1,19,2,33,1,4,1,0,0,0
9857,1746,2,17,1,27,3,3,4,0,0,1
14186,1245,2,20,1,41,1,1,1,1,1,1
11719,1142,1,18,1,33,2,2,3,0,1,1
14989,1782,1,18,1,12,4,3,1,0,0,0
9929,1379,2,20,1,69,1,1,4,0,1,1
9765,991,2,21,2,51,4,3,3,0,0,1
7801,1337,2,17,1,10,1,3,2,0,0,0
4778,1745,1,18,1,31,4,3,4,0,0,0
11459,1876,1,17,2,73,2,2,4,0,1,1
6782,1360,1,21,2,6,6,1,4,0,0,0
13665,749,2,18,1,19,2,2,4,1,1,1
8506,737,2,17,1,63,6,1,1,0,0,0
14663,779,1,18,1,24,2,4,1,1,1,1
8355,1730,2,19,2,77,5,2,3,0,0,0
6406,819,2,18,1,9,6,3,2,0,0,0
13578,731,1,19,1,39,1,1,1,1,1,1
6187,1414,1,17,2,58,1,3,1,0,0,0
7661,1386,2,18,1,41,1,2,4,0,0,1
13985,1354,1,18,1,86,4,4,4,0,1,1
11221,1238,1,20,2,21,5,4,4,0,1,1
11170,1468,1,19,1,31,4,2,2,0,0,0
9823,971,2,18,1,39,5,2,3,0,0,1
9625,626,2,19,1,1,5,3,3,0,1,1
10480,1165,2,17,1,85,6,2,1,0,0,0
14579,2008,1,19,1,73,5,3,4,0,1,1
7044,1835,2,17,1,16,1,3,4,0,0,0
11228,1445,2,18,2,92,3,4,4,0,1,1
6406,1335,2,20,2,92,6,4,1,0,0,0
6596,857,2,19,1,66,6,4,2,0,0,0
