wage,costliving,gender,age,branch,city,merite,afford1,afford2,afford3
7601,649,1,19,1,3,2,0,0,0
7199,1620,2,18,1,3,3,0,0,0
4734,1959,1,18,1,4,3,0,0,0
11028,1194,2,20,1,6,2,0,0,0
9876,1108,2,19,1,3,2,0,0,0
4022,1169,2,19,1,3,1,0,0,0
7933,1933,1,20,1,4,1,0,0,0
13224,2063,1,17,1,3,1,0,0,0
11153,1365,2,21,1,2,2,0,0,0
4811,971,2,20,1,6,3,0,0,0
14421,1963,1,17,1,3,4,0,1,1
14437,2021,2,19,1,2,2,0,0,0
13927,1937,1,17,1,3,3,0,1,1
14542,1605,2,21,1,3,4,0,1,1
10927,2084,1,20,1,3,2,0,0,0
13146,1736,1,18,1,4,3,0,1,1
8382,1768,1,18,1,5,2,0,0,0
4501,1476,1,17,1,5,2,0,0,0
12679,685,2,21,1,5,4,1,1,1
13597,923,1,21,1,4,2,1,1,1
4406,2027,1,20,1,2,2,0,0,0
5056,1103,2,21,1,1,2,0,0,0
6759,1689,1,18,1,4,1,0,0,0
7780,1765,1,19,1,1,1,0,0,0
9814,1209,1,21,1,4,1,0,0,0
7637,1240,2,17,1,2,1,0,0,0
11863,1500,2,17,1,3,1,0,0,0
9890,1440,2,19,1,1,3,0,0,1
13484,1865,2,20,1,6,2,0,0,0
10118,1993,1,18,1,4,3,0,0,0
12692,715,1,17,1,5,4,1,1,1
4981,1481,2,18,1,1,3,0,0,0
8668,906,1,17,1,2,1,0,0,0
11989,962,2,20,1,6,4,0,1,1
12124,1422,1,18,1,1,1,0,0,0
4267,1462,1,17,1,5,3,0,0,0
7504,1878,2,18,1,4,4,0,0,0
8276,1012,2,19,1,3,4,0,0,1
13128,1203,2,21,1,3,3,0,1,1
6967,1933,2,21,1,5,4,0,0,0
5398,2076,2,17,1,5,1,0,0,0
4994,1346,1,21,1,2,2,0,0,0
9232,1068,2,20,1,4,3,0,0,1
12262,731,2,20,1,6,4,0,1,1
8929,1207,2,17,1,5,3,0,0,0
9155,1183,2,19,1,2,3,0,0,1
5460,1208,2,21,1,3,3,0,0,0
11482,672,2,18,1,2,4,0,1,1
14579,1293,1,20,1,6,2,1,1,1
8586,1865,1,20,1,6,2,0,0,0
13459,1899,2,18,1,6,4,0,1,1
7277,1559,2,17,1,6,4,0,0,0
12945,1935,1,17,1,2,2,0,0,0
9709,1312,1,19,1,1,2,0,0,0
12844,675,2,20,1,1,3,1,1,1
4283,1200,1,19,1,5,4,0,0,0
14685,1928,2,17,1,3,2,0,0,0
8982,956,1,19,1,2,3,0,0,1
8497,677,2,17,1,2,3,0,0,1
9324,742,2,18,1,2,1,0,0,0
11036,1941,1,20,1,2,3,0,0,0
5437,1480,2,17,1,4,3,0,0,0
10742,876,2,17,1,5,3,0,1,1
10225,865,2,20,1,5,1,0,0,0
9038,1278,2,19,1,3,2,0,0,0
12660,1114,2,21,1,2,4,0,1,1
8806,1140,1,20,1,4,1,0,0,0
10167,620,1,20,1,1,4,0,1,1
12884,2038,2,18,1,3,2,0,0,0
12678,1572,1,17,1,3,3,0,1,1
4583,1489,2,17,1,5,2,0,0,0
10847,1145,1,21,1,2,2,0,0,0
4681,900,2,21,1,3,2,0,0,0
13945,1057,1,19,1,3,3,1,1,1
6399,909,2,17,1,5,1,0,0,0
5813,1177,1,18,1,6,4,0,0,0
6899,1963,2,21,1,1,2,0,0,0
7958,1918,2,21,1,4,1,0,0,0
13705,1500,2,17,1,1,2,0,0,0
9548,1336,2,20,1,5,3,0,0,1
7952,1133,2,19,1,2,2,0,0,0
5528,1425,1,20,1,3,3,0,0,0
9830,1581,1,19,1,4,1,0,0,0
5687,1747,1,21,1,4,3,0,0,0
4903,715,2,17,1,6,1,0,0,0
9883,619,1,19,1,3,1,0,0,0
8186,1993,2,20,1,5,2,0,0,0
14206,1337,1,17,1,3,1,0,0,0
8997,1484,1,19,1,6,1,0,0,0
9181,1609,2,18,1,2,4,0,0,1
4293,2020,1,17,1,3,4,0,0,0
10719,2016,2,19,1,4,2,0,0,0
13659,895,2,19,1,2,4,1,1,1
8202,1681,1,17,1,2,3,0,0,0
5072,1482,2,18,1,5,1,0,0,0
11349,1369,2,18,1,1,3,0,0,1
5608,636,1,18,1,5,2,0,0,0
12513,1122,1,20,1,2,4,0,1,1
12268,875,1,21,1,5,3,0,1,1
12346,1290,2,17,1,2,4,0,1,1
13447,703,1,19,1,1,4,1,1,1
14979,850,2,17,1,4,1,1,1,1
13028,1373,2,18,1,3,1,0,0,0
5361,1585,1,18,1,2,4,0,0,0
7589,695,1,20,1,5,1,0,0,0
6202,1174,2,17,1,5,4,0,0,0
14242,1663,1,19,1,6,4,0,1,1
14611,1368,2,19,1,4,1,1,1,1
6565,815,1,18,1,6,1,0,0,0
5478,707,2,19,1,5,1,0,0,0
7036,942,2,19,1,5,1,0,0,0
6877,2088,1,20,1,1,1,0,0,0
4679,1912,1,20,1,4,2,0,0,0
6276,1832,1,20,1,5,3,0,0,0
6800,1046,1,18,1,2,1,0,0,0
10438,1552,2,17,1,1,4,0,1,1
6787,1289,2,17,1,6,1,0,0,0
11426,1771,2,19,1,5,3,0,0,1
11776,1465,1,20,1,2,2,0,0,0
7511,669,1,20,1,5,1,0,0,0
6643,664,2,20,1,3,1,0,0,0
7760,1334,2,21,1,1,3,0,0,0
4784,805,2,21,1,3,3,0,0,0
4743,740,1,18,1,4,2,0,0,0
13033,1782,1,19,1,2,3,0,1,1
11294,836,2,17,1,5,2,0,0,0
11921,1892,2,18,1,6,4,0,1,1
12663,1070,1,19,1,3,1,0,0,0
13404,1461,2,17,1,2,4,0,1,1
12340,1297,2,18,1,2,1,0,0,0
13998,1629,1,17,1,5,3,0,1,1
4870,1322,2,20,1,5,2,0,0,0
5113,1700,2,21,1,4,2,0,0,0
7068,955,1,21,1,5,3,0,0,0
5103,1600,2,20,1,5,3,0,0,0
8172,1719,1,18,1,3,4,0,0,0
10322,2074,1,19,1,2,2,0,0,0
4817,714,1,18,1,6,1,0,0,0
4342,1284,2,21,1,4,2,0,0,0
4343,1850,2,20,1,6,2,0,0,0
14582,1108,1,17,1,4,1,1,1,1
4400,686,1,19,1,3,2,0,0,0
4587,1346,2,19,1,4,4,0,0,0
9569,1449,1,17,1,6,1,0,0,0
6127,1761,1,19,1,1,3,0,0,0
8858,799,1,19,1,2,2,0,0,0
8128,2006,2,21,1,5,1,0,0,0
11250,772,2,17,1,1,2,0,0,0
9773,2015,1,20,1,2,1,0,0,0
14135,1770,2,20,1,4,4,0,1,1
9117,950,1,20,1,2,1,0,0,0
14104,1465,2,17,1,2,2,0,0,0
7507,1579,1,18,1,4,3,0,0,0
5969,1470,1,18,1,4,1,0,0,0
9145,1810,2,20,1,6,1,0,0,0
13158,1544,1,17,1,2,2,0,0,0
13293,1944,2,19,1,5,2,0,0,0
6613,1428,1,17,1,5,1,0,0,0
10388,1763,1,20,1,1,2,0,0,0
11999,758,1,21,1,4,3,0,1,1
5852,818,1,19,1,6,2,0,0,0
9128,2096,1,21,1,3,4,0,0,0
13828,1277,1,18,1,2,1,0,0,0
13748,1285,2,18,1,4,1,0,0,0
14633,1549,1,19,1,3,1,0,0,0
10040,921,2,21,1,6,2,0,0,0
5057,931,2,20,1,4,2,0,0,0
9295,1501,1,19,1,4,3,0,0,0
13509,1462,2,17,1,4,1,0,0,0
6885,1101,2,19,1,6,1,0,0,0
9128,1455,1,18,1,1,1,0,0,0
13608,1592,1,21,1,6,3,0,1,1
6707,1121,1,19,1,2,4,0,0,0
12309,947,1,17,1,3,1,0,0,0
8708,806,1,18,1,4,3,0,0,1
13189,1383,2,17,1,5,2,0,0,0
9517,1410,1,20,1,6,4,0,0,1
8449,627,2,21,1,6,1,0,0,0
8605,2049,1,20,1,1,1,0,0,0
6584,1137,2,17,1,3,2,0,0,0
6371,885,2,17,1,5,2,0,0,0
8564,965,1,19,1,3,2,0,0,0
6727,602,1,17,1,2,1,0,0,0
14590,1191,2,17,1,1,3,1,1,1
13181,1199,1,18,1,1,2,0,0,0
10705,921,1,17,1,4,1,0,0,0
12660,1394,1,20,1,6,1,0,0,0
14625,1774,1,17,1,1,1,0,0,0
14364,1141,1,20,1,6,3,1,1,1
14587,1632,2,18,1,2,3,0,1,1
5049,951,2,19,1,1,3,0,0,0
11610,1791,1,19,1,5,1,0,0,0
13576,1314,2,21,1,3,4,0,1,1
8367,1495,1,17,1,4,3,0,0,0
14888,1435,2,17,1,4,4,1,1,1
14395,1014,2,21,1,2,3,1,1,1
12891,955,1,21,1,6,1,0,0,0
9101,1276,2,18,1,6,3,0,0,0
7822,1378,1,17,1,4,3,0,0,0
4686,1981,2,19,1,1,3,0,0,0
4244,811,1,20,1,3,1,0,0,0
14933,1019,2,21,1,1,4,1,1,1
11658,1179,2,19,1,3,3,0,1,1
9560,1722,1,18,1,1,4,0,0,1
14208,1600,1,18,1,4,2,0,0,0
12882,1747,2,20,1,6,1,0,0,0
11921,1537,1,18,1,1,2,0,0,0
7997,1361,1,17,1,3,2,0,0,0
6586,802,1,20,1,6,2,0,0,0
10120,1243,1,21,1,3,2,0,0,0
6937,1258,2,17,1,1,1,0,0,0
10832,1372,2,21,1,1,4,0,1,1
4598,1736,2,21,1,2,4,0,0,0
10589,1547,1,20,1,1,1,0,0,0
13959,1253,2,17,1,1,2,0,0,0
11960,1525,1,19,1,4,3,0,0,1
6586,1400,1,20,1,2,3,0,0,0
12682,888,1,21,1,1,4,0,1,1
12968,1056,1,19,1,6,2,0,0,0
12483,1226,1,19,1,5,2,0,0,0
4864,772,2,21,1,4,4,0,0,0
5765,966,2,20,1,1,2,0,0,0
12365,2027,1,19,1,2,4,0,1,1
12424,1994,2,17,1,1,2,0,0,0
7630,1038,1,17,1,4,4,0,0,1
9750,927,2,20,1,6,2,0,0,0
6650,2080,1,19,1,5,4,0,0,0
4756,628,1,17,1,6,2,0,0,0
10066,1593,1,19,1,2,3,0,0,0
7395,1206,2,21,1,3,4,0,0,1
13312,1354,2,17,1,5,1,0,0,0
4003,2048,2,18,1,4,4,0,0,0
14457,2046,2,18,1,4,2,0,0,0
9468,1968,1,20,1,5,4,0,0,0
4341,2058,2,17,1,1,3,0,0,0
4793,1954,1,21,1,3,3,0,0,0
10505,1621,2,18,1,1,4,0,1,1
4791,1318,1,17,1,6,4,0,0,0
4359,875,2,18,1,6,1,0,0,0
8799,1474,1,19,1,2,2,0,0,0
6413,973,2,18,1,5,1,0,0,0
10775,808,1,19,1,2,2,0,0,0
7162,1372,1,17,1,2,4,0,0,0
9445,1868,2,17,1,1,4,0,0,1
8158,1846,2,19,1,3,2,0,0,0
6001,666,2,20,1,6,2,0,0,0
4064,1977,2,20,1,1,2,0,0,0
