age,gender,city,branch,mention,tuition,school,competence,socialmedia,website,contact,wage,costliving,rural,INTEREST
22,1,4,1,3,30000,23,3,28,28,27,8133,2258,0,1
20,1,5,1,2,30000,48,4,29,7,13,3138,2577,1,0
22,2,6,1,2,30000,50,2,28,27,22,8538,2735,0,0
24,2,5,1,4,30000,40,1,31,2,4,4435,2589,0,1
22,2,7,1,2,30000,55,1,23,17,16,12073,2296,0,1
23,1,3,1,4,30000,33,4,21,2,16,8968,2630,0,0
26,2,5,1,4,30000,3,3,21,6,10,3667,2464,1,1
20,2,4,1,1,30000,30,3,12,1,3,5182,2649,1,0
19,2,5,1,2,30000,28,4,24,6,25,6326,2078,1,1
24,1,3,1,1,30000,4,4,29,6,11,10112,2095,1,1
18,1,4,1,4,30000,38,1,17,11,10,13592,2336,0,1
19,1,6,1,3,30000,50,4,3,1,6,3447,2421,1,0
19,2,3,1,3,30000,43,4,25,29,28,11374,2004,1,1
23,2,6,1,1,30000,4,2,23,9,21,8344,2570,0,1
26,2,5,1,4,30000,11,2,15,25,17,7262,2670,0,0
23,1,1,1,1,30000,52,2,16,27,15,5290,2112,0,0
25,1,7,1,2,30000,6,2,9,10,33,5058,2204,0,0
26,1,4,1,2,30000,23,2,27,9,17,10166,2542,1,1
23,2,1,1,2,30000,43,2,27,7,17,9107,2610,0,1
26,2,8,1,2,30000,16,3,25,18,29,5021,2479,0,1
23,1,2,1,2,30000,21,1,18,8,29,6412,2517,1,1
26,2,2,1,3,30000,11,3,7,2,5,3831,1942,0,0
18,2,2,1,4,30000,48,4,9,21,1,3910,2344,0,0
25,2,2,1,2,30000,35,4,16,16,25,4606,2427,1,1
25,1,3,1,3,30000,39,1,13,33,18,11998,1815,0,0
25,2,4,1,1,30000,56,4,20,19,15,12454,2791,1,1
23,2,3,1,4,30000,25,4,26,1,28,6001,2822,1,0
25,1,4,1,3,30000,20,4,21,30,6,9180,2914,1,1
26,1,4,1,1,30000,1,3,4,10,21,3431,2411,1,0
26,1,7,1,2,30000,10,4,13,13,5,10363,2311,0,0
26,2,8,1,4,30000,33,2,19,27,9,3824,2464,1,0
26,2,4,1,4,30000,52,1,33,8,21,12372,2141,0,0
23,1,3,1,1,30000,51,4,31,30,8,3134,1937,0,0
23,2,2,1,1,30000,13,3,23,25,22,7902,2386,1,1
19,1,6,1,1,30000,31,4,14,16,8,3187,2025,1,1
23,1,7,1,4,30000,26,2,1,20,1,9775,2623,1,0
20,2,3,1,1,30000,12,2,21,3,19,6004,2491,0,1
20,2,3,1,1,30000,27,3,23,5,31,8704,1884,0,1
18,1,6,1,1,30000,51,2,6,23,27,3596,1899,0,0
20,1,7,1,2,30000,14,4,19,12,10,4038,2671,0,0
18,1,4,1,4,30000,25,2,22,19,15,6291,2520,0,1
19,2,3,1,3,30000,54,4,28,23,18,14662,2146,1,1
22,2,7,1,4,30000,19,3,14,20,27,11491,2034,1,1
23,1,5,1,1,30000,16,4,27,13,17,7582,2383,0,1
