"* Sexe
(M, F)",,"*Nationalité
(voir la liste des pays)","* Niveau de formation
(1, 2, 3, 4, 5, 6, 7 )",Interet,* Diplôme d'accès,,"* Année d'obtention du baccalauréat
(AAAA/AAAA+1)","Spécialité du diplôme d'accès 
(Hors baccalauréat)","* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,"* Boursier
(%)",,,Serie Bac,"* Date de naissance
(JJ/MM/AAAA)",Age
M,,Gabon,1,MDA,Baccalauréat,,2020/2021,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Economie,4/1/2000,21
M,,Gabon,1,MDA,Baccalauréat,,2018/2019,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Lettre,3/15/1997,24
F,,Gabon,1,MDA,Baccalauréat,,2019/2020,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Lettre,3/30/1999,22
M,,Gabon,1,MDA,Baccalauréat,,2019/2020,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Lettre,7/26/2002,19
F,,Gabon,1,MDA,Baccalauréat,,2019/2020,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Lettre,2/27/2001,20
M,,Gabon,1,MDA,Baccalauréat,,2020/2021,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Humaine,3/12/2002,19
F,,Gabon,1,MDA,Baccalauréat,,2018/2019,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,SVT,11/25/1998,23
F,,Gabon,1,MDA,Baccalauréat,,2020/2021,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Humaine,1/25/2002,19
M,,Gabon,1,MDA,Baccalauréat,,2020/2021,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Lettre,10/5/2001,20
F,,Gabon,1,MDA,Baccalauréat,,2019/2020,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,SVT,5/15/2001,20
F,,Gabon,1,MDA,Baccalauréat,,2019/2020,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Humaine,5/8/1999,22
F,,Gabon,1,MDA,Baccalauréat,,2015/2016,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,SVT,5/26/1999,22
