Student_ID,Gender,Age,City,Tuition,Signup,Grades,ParentWage,CanAfford
1,Male,25,Beni Mellal,30000,3000,Bien,17501,
2,Female,23,Azilal,30000,3000,Passable,12401,
3,Male,25,Khenifra,30000,3000,Tres Bien,17100,
4,Male,18,Beni Mellal,30000,3000,Tres Bien,19847,
5,Male,18,Khenifra,30000,3000,Passable,12362,
6,Female,18,Khouribga,30000,3000,Bien,5318,
7,Male,24,FqihBenSalah,30000,3000,Bien,12112,
8,Female,22,OuedZem,30000,3000,Tres Bien,9327,
9,Female,20,Tadla,30000,3000,Tres Bien,16495,
10,Male,23,Tadla,30000,3000,Passable,19090,
11,Male,21,Beni Mellal,30000,3000,Moyen,15200,
12,Male,18,OuedZem,30000,3000,Tres Bien,6577,
13,Male,21,Tadla,30000,3000,Moyen,4033,
14,Male,20,FqihBenSalah,30000,3000,Moyen,15556,
15,Female,19,Azilal,30000,3000,Moyen,19951,
16,Female,19,Khenifra,30000,3000,Passable,18631,
17,Female,24,Khenifra,30000,3000,Bien,12268,
18,Male,19,OuedZem,30000,3000,Tres Bien,5537,
19,Female,18,OuedZem,30000,3000,Moyen,15558,
20,Male,20,Khenifra,30000,3000,Passable,18747,
21,Male,22,Tadla,30000,3000,Passable,6678,
22,Male,23,Azilal,30000,3000,Moyen,12076,
23,Female,19,Beni Mellal,30000,3000,Moyen,8467,
24,Male,20,Khouribga,30000,3000,Bien,11670,
25,Female,24,Tadla,30000,3000,Moyen,11754,
26,Male,19,Tadla,30000,3000,Bien,7836,
27,Male,19,Azilal,30000,3000,Passable,12104,
28,Female,20,FqihBenSalah,30000,3000,Passable,12712,
29,Female,22,Khouribga,30000,3000,Bien,14454,
30,Male,19,Khenifra,30000,3000,Bien,7596,
31,Female,24,Tadla,30000,3000,Tres Bien,19070,
32,Male,18,Beni Mellal,30000,3000,Tres Bien,8126,
33,Female,20,FqihBenSalah,30000,3000,Moyen,5276,
34,Female,18,FqihBenSalah,30000,3000,Bien,7444,
35,Male,23,Tadla,30000,3000,Bien,12278,
36,Female,25,Tadla,30000,3000,Moyen,13934,
37,Male,23,OuedZem,30000,3000,Tres Bien,19059,
38,Female,25,Azilal,30000,3000,Bien,12102,
39,Female,19,Azilal,30000,3000,Bien,14567,
40,Female,21,FqihBenSalah,30000,3000,Tres Bien,11369,
41,Female,20,OuedZem,30000,3000,Bien,17957,
42,Male,21,Azilal,30000,3000,Passable,4452,
43,Female,21,OuedZem,30000,3000,Tres Bien,15843,
44,Male,22,OuedZem,30000,3000,Passable,9714,
45,Male,21,Tadla,30000,3000,Tres Bien,4356,
46,Female,22,Khenifra,30000,3000,Bien,18393,
47,Female,21,OuedZem,30000,3000,Moyen,10558,
48,Male,25,OuedZem,30000,3000,Passable,11267,
49,Female,19,Azilal,30000,3000,Moyen,19435,
50,Male,24,Khenifra,30000,3000,Passable,13023,
51,Male,21,Tadla,30000,3000,Bien,17488,
52,Male,24,Khouribga,30000,3000,Passable,9530,
53,Female,19,FqihBenSalah,30000,3000,Moyen,14046,
54,Male,21,FqihBenSalah,30000,3000,Bien,12985,
55,Female,25,Khouribga,30000,3000,Passable,14215,
56,Female,21,Khouribga,30000,3000,Moyen,7907,
57,Male,19,FqihBenSalah,30000,3000,Tres Bien,4555,
58,Male,24,Tadla,30000,3000,Moyen,7038,
59,Male,19,Khouribga,30000,3000,Tres Bien,12750,
60,Male,22,Azilal,30000,3000,Passable,11148,
61,Female,19,Beni Mellal,30000,3000,Passable,14568,
62,Male,22,Tadla,30000,3000,Bien,13039,
63,Female,19,OuedZem,30000,3000,Bien,5976,
64,Female,21,Khenifra,30000,3000,Moyen,9273,
65,Female,22,Khouribga,30000,3000,Bien,5873,
66,Female,21,Tadla,30000,3000,Tres Bien,19883,
67,Male,24,Azilal,30000,3000,Moyen,9880,
68,Female,21,OuedZem,30000,3000,Passable,17661,
69,Female,20,Tadla,30000,3000,Bien,7685,
70,Male,18,Beni Mellal,30000,3000,Passable,8805,
71,Male,20,Khouribga,30000,3000,Passable,11077,
72,Male,18,Khouribga,30000,3000,Passable,8947,
73,Female,24,OuedZem,30000,3000,Moyen,14914,
74,Female,22,Khenifra,30000,3000,Tres Bien,16775,
75,Male,18,Khouribga,30000,3000,Moyen,19768,
76,Male,22,Azilal,30000,3000,Bien,9854,
77,Female,18,Khenifra,30000,3000,Tres Bien,17890,
78,Male,19,Beni Mellal,30000,3000,Passable,16650,
79,Female,20,Khouribga,30000,3000,Moyen,8463,
