Gender,Age,City,Tuition,Signup,Grades,ParentWage,CanAfford
1,23,5,30000,3000,3,10515,1
1,24,6,30000,3000,1,3748,0
2,24,3,30000,3000,1,3125,0
2,19,2,30000,3000,4,11833,1
1,25,8,30000,3000,2,9246,1
2,25,5,30000,3000,1,4311,0
1,24,2,30000,3000,1,8627,1
1,22,7,30000,3000,3,13733,1
1,20,5,30000,3000,3,5097,0
2,21,6,30000,3000,1,7946,0
1,20,2,30000,3000,4,11929,1
2,20,6,30000,3000,2,8526,1
1,19,2,30000,3000,4,3959,0
1,19,1,30000,3000,2,9551,1
1,25,2,30000,3000,3,5253,0
1,23,5,30000,3000,3,3632,0
1,20,5,30000,3000,1,4955,0
2,22,2,30000,3000,2,9530,1
2,22,8,30000,3000,4,5707,0
2,18,8,30000,3000,1,9661,1
2,22,3,30000,3000,3,3769,0
1,18,8,30000,3000,2,9469,1
1,25,8,30000,3000,1,9219,1
2,25,5,30000,3000,2,10148,1
1,24,3,30000,3000,4,4722,0
1,20,3,30000,3000,4,3308,0
1,24,6,30000,3000,4,3229,0
2,24,1,30000,3000,2,4485,0
2,18,6,30000,3000,1,7050,0
2,22,6,30000,3000,1,7255,0
2,24,8,30000,3000,4,11173,1
1,24,3,30000,3000,2,3739,0
1,21,3,30000,3000,4,8920,1
2,20,8,30000,3000,4,8976,1
2,25,5,30000,3000,2,11288,1
2,18,3,30000,3000,2,8791,1
2,22,7,30000,3000,2,12740,1
2,23,4,30000,3000,2,3630,0
1,18,7,30000,3000,2,11903,1
2,19,7,30000,3000,4,7900,0
1,18,1,30000,3000,2,5829,0
2,23,2,30000,3000,3,12936,1
2,20,4,30000,3000,3,7430,0
1,24,1,30000,3000,1,8303,0
1,21,3,30000,3000,4,6458,0
2,23,5,30000,3000,1,6243,0
1,25,8,30000,3000,2,7005,0
2,18,2,30000,3000,4,10503,1
2,20,7,30000,3000,1,5772,0
1,20,8,30000,3000,2,4795,0
1,18,7,30000,3000,2,3304,0
2,21,2,30000,3000,1,10781,1
1,20,7,30000,3000,4,11249,1
2,18,6,30000,3000,2,4317,0
1,18,1,30000,3000,1,3560,0
2,23,5,30000,3000,1,4942,0
2,20,4,30000,3000,1,13943,1
2,19,8,30000,3000,3,12769,1
2,18,1,30000,3000,3,9330,1
2,23,1,30000,3000,4,6793,0
2,23,2,30000,3000,2,13284,1
1,18,6,30000,3000,2,12985,1
1,23,7,30000,3000,3,7308,0
2,23,5,30000,3000,2,11371,1
1,21,6,30000,3000,1,5322,0
2,21,7,30000,3000,4,11914,1
2,21,5,30000,3000,1,4252,0
2,18,7,30000,3000,3,8444,1
2,21,5,30000,3000,2,6894,0
1,23,6,30000,3000,4,8373,1
2,24,5,30000,3000,4,4559,0
2,18,5,30000,3000,3,5179,0
1,21,3,30000,3000,4,8663,1
1,23,1,30000,3000,1,3458,0
1,18,8,30000,3000,1,3813,0
1,25,6,30000,3000,2,6879,0
1,19,1,30000,3000,1,12633,1
2,23,7,30000,3000,2,8683,1
1,22,7,30000,3000,1,9110,1
1,18,3,30000,3000,3,9548,1
1,22,5,30000,3000,4,7428,0
1,23,7,30000,3000,2,3135,0
1,19,7,30000,3000,2,12320,1
1,25,8,30000,3000,4,5910,0
2,18,3,30000,3000,3,11877,1
1,23,5,30000,3000,1,8055,0
2,18,2,30000,3000,4,5792,0
1,24,1,30000,3000,3,8443,1
1,25,8,30000,3000,1,13485,1
2,25,1,30000,3000,3,4799,0
1,19,4,30000,3000,4,10071,1
2,18,3,30000,3000,2,12340,1
2,21,4,30000,3000,2,10456,1
1,22,4,30000,3000,1,13745,1
2,21,1,30000,3000,3,10789,1
1,19,2,30000,3000,4,9588,1
1,24,6,30000,3000,1,5073,0
2,25,8,30000,3000,1,5042,0
2,18,4,30000,3000,3,9373,1
2,18,7,30000,3000,1,13396,1
2,22,6,30000,3000,2,13650,1
2,21,7,30000,3000,2,3716,0
1,20,4,30000,3000,3,12982,1
1,22,6,30000,3000,2,6389,0
2,23,7,30000,3000,1,8642,1
2,20,5,30000,3000,1,12497,1
2,19,5,30000,3000,4,7260,0
2,18,6,30000,3000,1,4406,0
2,21,4,30000,3000,3,6114,0
2,20,3,30000,3000,1,7269,0
2,25,6,30000,3000,3,6725,0
2,25,3,30000,3000,3,11411,1
2,19,8,30000,3000,1,11593,1
1,24,3,30000,3000,3,13016,1
2,19,2,30000,3000,1,5804,0
2,21,3,30000,3000,1,4748,0
1,25,6,30000,3000,3,7764,0
2,19,6,30000,3000,4,6917,0
2,24,4,30000,3000,2,4656,0
2,25,2,30000,3000,2,11774,1
2,22,6,30000,3000,2,4542,0
2,18,2,30000,3000,3,13282,1
2,19,5,30000,3000,3,6997,0
2,18,4,30000,3000,2,6868,0
2,22,6,30000,3000,3,9020,1
1,20,3,30000,3000,3,13177,1
1,24,2,30000,3000,1,7760,0
2,25,3,30000,3000,2,6180,0
2,25,8,30000,3000,3,7293,0
1,22,5,30000,3000,2,9518,1
2,24,7,30000,3000,2,9792,1
2,20,2,30000,3000,4,8569,1
2,22,6,30000,3000,4,4976,0
1,23,6,30000,3000,1,7924,0
2,25,3,30000,3000,3,6508,0
2,24,1,30000,3000,1,11092,1
2,19,4,30000,3000,4,9523,1
2,24,6,30000,3000,4,11476,1
1,20,7,30000,3000,2,11808,1
2,24,6,30000,3000,3,4269,0
1,18,6,30000,3000,4,5924,0
1,25,2,30000,3000,1,7016,0
2,19,1,30000,3000,2,7909,0
1,19,1,30000,3000,3,10276,1
2,19,1,30000,3000,3,6500,0
1,25,1,30000,3000,4,4706,0
1,24,4,30000,3000,3,10642,1
2,18,7,30000,3000,1,8980,1
2,19,1,30000,3000,4,5143,0
2,19,7,30000,3000,2,3571,0
2,22,8,30000,3000,2,4465,0
2,25,6,30000,3000,1,4915,0
2,18,8,30000,3000,2,10789,1
1,22,5,30000,3000,1,5936,0
2,20,1,30000,3000,2,10217,1
2,21,3,30000,3000,3,12016,1
1,22,8,30000,3000,4,12986,1
2,22,2,30000,3000,3,8008,0
2,24,1,30000,3000,3,7202,0
2,23,4,30000,3000,1,9682,1
2,21,3,30000,3000,4,6821,0
2,18,2,30000,3000,4,3019,0
1,25,2,30000,3000,1,4851,0
2,21,3,30000,3000,1,10039,1
2,22,8,30000,3000,4,11713,1
2,20,5,30000,3000,3,5952,0
2,22,7,30000,3000,4,5575,0
2,18,2,30000,3000,2,7192,0
1,21,8,30000,3000,1,12658,1
1,24,6,30000,3000,3,12972,1
1,21,2,30000,3000,4,11768,1
2,19,8,30000,3000,1,5961,0
2,21,6,30000,3000,2,10431,1
1,24,5,30000,3000,2,6262,0
2,20,4,30000,3000,4,10988,1
1,18,5,30000,3000,2,5707,0
2,19,3,30000,3000,2,6526,0
1,21,2,30000,3000,3,6678,0
2,23,8,30000,3000,3,8715,1
1,23,5,30000,3000,4,9205,1
2,20,5,30000,3000,1,6766,0
1,25,5,30000,3000,2,8001,0
2,24,2,30000,3000,3,9648,1
2,21,6,30000,3000,2,13731,1
1,23,6,30000,3000,4,8930,1
2,21,4,30000,3000,4,8769,1
2,21,6,30000,3000,2,9634,1
2,25,8,30000,3000,1,11940,1
2,23,6,30000,3000,4,10336,1
1,20,8,30000,3000,1,4047,0
1,20,8,30000,3000,3,9987,1
1,25,7,30000,3000,2,4208,0
2,19,6,30000,3000,1,9543,1
2,22,2,30000,3000,1,13616,1
1,20,4,30000,3000,1,10386,1
2,23,5,30000,3000,2,9303,1
1,23,3,30000,3000,1,9345,1
1,25,3,30000,3000,4,8547,1
1,18,5,30000,3000,4,6976,0
1,21,4,30000,3000,3,5158,0
2,23,2,30000,3000,2,7344,0
2,22,1,30000,3000,2,4542,0
1,20,4,30000,3000,4,8370,1
2,21,7,30000,3000,3,13416,1
1,21,7,30000,3000,3,6890,0
2,22,2,30000,3000,4,11366,1
2,25,3,30000,3000,1,7262,0
2,21,7,30000,3000,3,5976,0
2,24,2,30000,3000,3,5813,0
2,20,6,30000,3000,1,11276,1
2,20,8,30000,3000,2,7455,0
2,24,8,30000,3000,3,9322,1
1,20,7,30000,3000,2,10363,1
1,22,2,30000,3000,1,9461,1
1,23,5,30000,3000,2,10019,1
1,24,4,30000,3000,2,11113,1
1,19,4,30000,3000,1,4816,0
1,18,5,30000,3000,3,5206,0
2,21,7,30000,3000,1,11909,1
2,19,3,30000,3000,1,5977,0
2,24,1,30000,3000,3,4774,0
2,21,7,30000,3000,2,3475,0
1,19,6,30000,3000,1,13417,1
2,23,5,30000,3000,3,12284,1
1,25,3,30000,3000,1,8581,1
1,18,1,30000,3000,1,11386,1
2,21,8,30000,3000,2,3278,0
1,21,4,30000,3000,1,9122,1
1,21,7,30000,3000,1,7382,0
1,24,2,30000,3000,1,6355,0
1,20,5,30000,3000,1,4819,0
1,21,2,30000,3000,2,7661,0
1,22,7,30000,3000,2,12037,1
2,25,5,30000,3000,4,3546,0
1,23,6,30000,3000,1,12186,1
2,25,3,30000,3000,4,5076,0
2,22,4,30000,3000,3,9201,1
1,22,2,30000,3000,1,11984,1
2,19,3,30000,3000,3,7298,0
1,20,6,30000,3000,2,10667,1
1,20,8,30000,3000,1,9039,1
2,22,3,30000,3000,1,11754,1
1,18,4,30000,3000,4,12032,1
1,19,1,30000,3000,3,5272,0
1,19,7,30000,3000,2,9515,1
2,18,1,30000,3000,1,9609,1
2,21,6,30000,3000,4,6504,0
2,24,1,30000,3000,4,12513,1
1,18,2,30000,3000,1,8926,1
2,25,1,30000,3000,1,5188,0
1,19,1,30000,3000,3,12391,1
2,21,7,30000,3000,4,3738,0
1,19,1,30000,3000,4,12057,1
1,23,8,30000,3000,2,3893,0
2,21,8,30000,3000,2,9577,1
2,23,7,30000,3000,2,5348,0
2,20,1,30000,3000,4,12962,1
2,18,1,30000,3000,3,9876,1
2,20,5,30000,3000,3,4025,0
1,22,8,30000,3000,3,3807,0
1,22,1,30000,3000,4,3714,0
1,19,6,30000,3000,4,12582,1
1,21,5,30000,3000,1,9631,1
1,22,1,30000,3000,3,7761,0
1,24,2,30000,3000,4,9190,1
1,24,5,30000,3000,2,13040,1
1,18,7,30000,3000,4,8372,1
1,18,3,30000,3000,1,4412,0
2,25,2,30000,3000,4,5583,0
1,21,6,30000,3000,2,11323,1
2,23,6,30000,3000,1,11906,1
1,21,2,30000,3000,4,4827,0
1,18,5,30000,3000,4,6207,0
2,21,2,30000,3000,4,3219,0
1,24,5,30000,3000,4,8836,1
2,19,3,30000,3000,2,5717,0
1,20,7,30000,3000,2,12790,1
1,24,4,30000,3000,4,4802,0
1,20,3,30000,3000,3,3720,0
1,25,6,30000,3000,4,10391,1
1,24,6,30000,3000,2,7550,0
1,23,6,30000,3000,2,4783,0
2,20,8,30000,3000,2,4895,0
2,24,7,30000,3000,3,12126,1
2,25,7,30000,3000,1,13179,1
2,20,6,30000,3000,1,3537,0
2,18,8,30000,3000,2,8660,1
2,23,2,30000,3000,2,8211,0
1,20,7,30000,3000,3,9389,1
2,18,6,30000,3000,1,12358,1
2,22,1,30000,3000,4,5438,0
1,20,1,30000,3000,1,8994,1
1,21,2,30000,3000,2,11741,1
1,23,6,30000,3000,4,10544,1
1,23,8,30000,3000,2,13100,1
1,23,7,30000,3000,1,6891,0
1,19,7,30000,3000,4,13223,1
2,18,8,30000,3000,1,10506,1
2,25,6,30000,3000,3,12012,1
2,25,7,30000,3000,3,3847,0
1,25,1,30000,3000,3,6323,0
1,23,6,30000,3000,4,6108,0
2,24,6,30000,3000,3,13755,1
1,21,1,30000,3000,1,7622,0
2,21,4,30000,3000,3,13196,1
1,19,1,30000,3000,2,3673,0
1,21,4,30000,3000,2,10357,1
2,21,5,30000,3000,3,11361,1
2,22,5,30000,3000,4,13986,1
1,20,1,30000,3000,4,12254,1
1,25,6,30000,3000,4,5070,0
1,18,4,30000,3000,4,5782,0
2,23,6,30000,3000,2,6380,0
1,23,3,30000,3000,2,9513,1
1,19,7,30000,3000,1,9086,1
2,23,2,30000,3000,1,10730,1
1,22,1,30000,3000,4,8044,0
1,24,3,30000,3000,1,4045,0
1,24,2,30000,3000,1,3586,0
1,18,8,30000,3000,2,9399,1
1,24,4,30000,3000,2,6216,0
1,24,2,30000,3000,2,5823,0
2,19,1,30000,3000,2,5176,0
1,22,2,30000,3000,4,8655,1
1,18,3,30000,3000,3,12563,1
1,22,6,30000,3000,3,13733,1
2,20,1,30000,3000,3,11078,1
2,18,7,30000,3000,1,11251,1
2,21,4,30000,3000,1,5943,0
1,24,6,30000,3000,4,13330,1
2,19,3,30000,3000,3,13421,1
2,20,2,30000,3000,1,4277,0
1,22,2,30000,3000,4,8757,1
1,21,5,30000,3000,1,3320,0
2,19,1,30000,3000,3,4758,0
2,25,1,30000,3000,2,5718,0
1,23,3,30000,3000,2,3197,0
2,25,5,30000,3000,4,5629,0
