Gender,Age,City,Tuition,Signup,Grades,ParentWage,CanAfford,ScholarshipGrades,SchGrAfford,Competence,SchGrComAfford,Rural,SchGrRuAfford,SchGrRuComAfford
Female,22,Tadla,30000,3000,Passable,19191,,,,,,,,
Male,18,Tadla,30000,3000,Moyenne,19295,,,,,,,,
Male,23,FqihBenSalah,30000,3000,Bien,13126,,,,,,,,
Female,18,FqihBenSalah,30000,3000,Bien,14075,,,,,,,,
Male,24,Tadla,30000,3000,Moyenne,17524,,,,,,,,
Male,22,FqihBenSalah,30000,3000,Passable,7109,,,,,,,,
Male,24,Khouribga,30000,3000,Passable,14330,,,,,,,,
Female,22,Tadla,30000,3000,Passable,18546,,,,,,,,
Female,24,Rural,30000,3000,TresBien,12009,,,,,,,,
Female,18,Ouedzem,30000,3000,TresBien,7340,,,,,,,,
Male,22,Azilal,30000,3000,,13498,,,,,,,,
Female,20,BeniMellal,30000,3000,Bien,3573,,,,,,,,
Female,23,BeniMellal,30000,3000,TresBien,6973,,,,,,,,
Male,19,Ouedzem,30000,3000,Bien,19309,,,,,,,,
Male,18,FqihBenSalah,30000,3000,,9901,,,,,,,,
Male,23,Khenifra,30000,3000,Bien,3259,,,,,,,,
Male,22,Tadla,30000,3000,Moyenne,7110,,,,,,,,
Female,18,Ouedzem,30000,3000,Passable,3913,,,,,,,,
Female,21,Rural,30000,3000,TresBien,19890,,,,,,,,
Female,21,Rural,30000,3000,Moyenne,9610,,,,,,,,
Female,25,Khouribga,30000,3000,,9690,,,,,,,,
Male,25,Ouedzem,30000,3000,,17865,,,,,,,,
Male,25,Tadla,30000,3000,Moyenne,8562,,,,,,,,
Male,21,Rural,30000,3000,,11371,,,,,,,,
Male,21,Tadla,30000,3000,Passable,15393,,,,,,,,
Female,25,Khenifra,30000,3000,Passable,14724,,,,,,,,
Male,20,Tadla,30000,3000,TresBien,13982,,,,,,,,
Female,18,FqihBenSalah,30000,3000,Moyenne,9512,,,,,,,,
Male,23,Khenifra,30000,3000,Passable,17782,,,,,,,,
Female,20,Ouedzem,30000,3000,,16526,,,,,,,,
Female,23,Khenifra,30000,3000,TresBien,5193,,,,,,,,
Female,19,Azilal,30000,3000,TresBien,17664,,,,,,,,
Female,20,Ouedzem,30000,3000,,9895,,,,,,,,
Male,23,FqihBenSalah,30000,3000,Bien,8091,,,,,,,,
Male,18,BeniMellal,30000,3000,TresBien,14584,,,,,,,,
Male,25,Azilal,30000,3000,,8402,,,,,,,,
Male,21,Khenifra,30000,3000,TresBien,18380,,,,,,,,
Female,24,FqihBenSalah,30000,3000,Bien,15695,,,,,,,,
Male,22,Azilal,30000,3000,TresBien,13006,,,,,,,,
Male,19,FqihBenSalah,30000,3000,Moyenne,8927,,,,,,,,
Female,24,Tadla,30000,3000,Passable,19892,,,,,,,,
Male,24,Azilal,30000,3000,,5875,,,,,,,,
Female,19,Ouedzem,30000,3000,Moyenne,7142,,,,,,,,
Female,20,Azilal,30000,3000,,16096,,,,,,,,
Male,25,BeniMellal,30000,3000,,19639,,,,,,,,
Female,22,FqihBenSalah,30000,3000,,18989,,,,,,,,
Male,23,FqihBenSalah,30000,3000,,6228,,,,,,,,
Male,22,Khenifra,30000,3000,Bien,7832,,,,,,,,
Female,19,BeniMellal,30000,3000,Bien,19874,,,,,,,,
Female,22,Ouedzem,30000,3000,Passable,18207,,,,,,,,
Male,18,Tadla,30000,3000,,14990,,,,,,,,
Male,24,Ouedzem,30000,3000,,19885,,,,,,,,
Male,21,Rural,30000,3000,Passable,14021,,,,,,,,
Male,25,Khenifra,30000,3000,Passable,6765,,,,,,,,
Female,18,Khenifra,30000,3000,Passable,7363,,,,,,,,
Female,24,Ouedzem,30000,3000,Bien,11444,,,,,,,,
Female,23,Azilal,30000,3000,Passable,13826,,,,,,,,
Female,18,Tadla,30000,3000,TresBien,17069,,,,,,,,
Female,23,Tadla,30000,3000,TresBien,15328,,,,,,,,
Male,18,Rural,30000,3000,TresBien,9541,,,,,,,,
Female,21,Tadla,30000,3000,Moyenne,10016,,,,,,,,
Female,18,Rural,30000,3000,Moyenne,10524,,,,,,,,
Male,18,Ouedzem,30000,3000,,5376,,,,,,,,
Female,23,Ouedzem,30000,3000,TresBien,4824,,,,,,,,
Male,21,Ouedzem,30000,3000,Moyenne,13997,,,,,,,,
Male,23,Azilal,30000,3000,TresBien,12491,,,,,,,,
Female,19,BeniMellal,30000,3000,Passable,6413,,,,,,,,
Female,18,Rural,30000,3000,,16020,,,,,,,,
Male,19,Rural,30000,3000,TresBien,17623,,,,,,,,
Female,20,Khouribga,30000,3000,TresBien,16681,,,,,,,,
Female,18,Khenifra,30000,3000,Passable,15336,,,,,,,,
Female,19,Khouribga,30000,3000,Bien,3446,,,,,,,,
Male,20,Azilal,30000,3000,Moyenne,16908,,,,,,,,
Male,24,BeniMellal,30000,3000,TresBien,19366,,,,,,,,
Male,22,Rural,30000,3000,Bien,6577,,,,,,,,
Female,18,FqihBenSalah,30000,3000,TresBien,11638,,,,,,,,
Male,20,BeniMellal,30000,3000,,7620,,,,,,,,
Female,19,Ouedzem,30000,3000,TresBien,9908,,,,,,,,
Female,20,Rural,30000,3000,,11203,,,,,,,,
Female,20,Azilal,30000,3000,TresBien,15440,,,,,,,,
Male,22,Khenifra,30000,3000,Passable,9364,,,,,,,,
Male,25,Azilal,30000,3000,Bien,13013,,,,,,,,
Female,19,Khouribga,30000,3000,Bien,14624,,,,,,,,
Female,22,Ouedzem,30000,3000,,3915,,,,,,,,
Female,23,FqihBenSalah,30000,3000,TresBien,18446,,,,,,,,
Female,18,Khouribga,30000,3000,,7704,,,,,,,,
Female,22,FqihBenSalah,30000,3000,Bien,11931,,,,,,,,
Male,24,Khenifra,30000,3000,Moyenne,13625,,,,,,,,
Female,23,BeniMellal,30000,3000,Bien,14711,,,,,,,,
Male,24,Ouedzem,30000,3000,Moyenne,16201,,,,,,,,
Female,22,FqihBenSalah,30000,3000,TresBien,3993,,,,,,,,
Male,19,Khenifra,30000,3000,Passable,6498,,,,,,,,
Female,24,Khenifra,30000,3000,Moyenne,3950,,,,,,,,
Female,25,BeniMellal,30000,3000,Bien,18948,,,,,,,,
Male,25,Khenifra,30000,3000,Passable,19885,,,,,,,,
Female,19,FqihBenSalah,30000,3000,Bien,3626,,,,,,,,
Female,20,Khenifra,30000,3000,TresBien,3600,,,,,,,,
Female,20,FqihBenSalah,30000,3000,Bien,6606,,,,,,,,
Male,21,Khouribga,30000,3000,Passable,11641,,,,,,,,
Male,19,FqihBenSalah,30000,3000,TresBien,17143,,,,,,,,
Male,20,Ouedzem,30000,3000,Bien,18119,,,,,,,,
Female,25,FqihBenSalah,30000,3000,TresBien,18812,,,,,,,,
Male,22,Khouribga,30000,3000,TresBien,6406,,,,,,,,
Female,18,Ouedzem,30000,3000,Bien,13277,,,,,,,,
Male,20,Azilal,30000,3000,TresBien,17390,,,,,,,,
Male,25,Khouribga,30000,3000,TresBien,15503,,,,,,,,
Male,25,Azilal,30000,3000,Bien,3484,,,,,,,,
Female,21,Khenifra,30000,3000,Bien,5835,,,,,,,,
Male,19,Ouedzem,30000,3000,Moyenne,8809,,,,,,,,
Female,24,Azilal,30000,3000,Passable,11105,,,,,,,,
Female,18,FqihBenSalah,30000,3000,Passable,12711,,,,,,,,
Male,20,Khenifra,30000,3000,TresBien,19106,,,,,,,,
Male,22,Tadla,30000,3000,TresBien,15869,,,,,,,,
Male,22,Ouedzem,30000,3000,Passable,14310,,,,,,,,
Male,25,Azilal,30000,3000,TresBien,12909,,,,,,,,
Male,24,Rural,30000,3000,Passable,18457,,,,,,,,
Female,24,Ouedzem,30000,3000,TresBien,11019,,,,,,,,
Female,23,Azilal,30000,3000,TresBien,18264,,,,,,,,
Female,18,Khenifra,30000,3000,Bien,7540,,,,,,,,
Female,24,Ouedzem,30000,3000,,11422,,,,,,,,
Male,24,Rural,30000,3000,,10740,,,,,,,,
Female,22,Khouribga,30000,3000,Moyenne,18860,,,,,,,,
Male,18,Khouribga,30000,3000,Bien,15146,,,,,,,,
Male,18,Khenifra,30000,3000,Bien,10260,,,,,,,,
Male,22,Ouedzem,30000,3000,Bien,12503,,,,,,,,
Female,24,Khouribga,30000,3000,Bien,6277,,,,,,,,
Male,22,Khenifra,30000,3000,,13797,,,,,,,,
Male,22,BeniMellal,30000,3000,Passable,16206,,,,,,,,
Female,24,Khenifra,30000,3000,,19459,,,,,,,,
Male,23,Ouedzem,30000,3000,,6981,,,,,,,,
Male,25,Khouribga,30000,3000,Bien,3131,,,,,,,,
Male,18,Rural,30000,3000,Passable,15009,,,,,,,,
Male,24,BeniMellal,30000,3000,Passable,5868,,,,,,,,
Female,20,Khenifra,30000,3000,Moyenne,10043,,,,,,,,
Female,21,Tadla,30000,3000,Passable,6803,,,,,,,,
