wage,rent,food,transport,AFFORD
5313,1487,1143,317,1
12961,1419,1327,487,1
6128,1940,1412,518,0
9477,1388,1057,334,1
6986,1848,1024,597,0
4939,993,896,598,1
4245,1690,716,392,0
12075,1905,900,440,1
10184,1900,1412,415,0
4218,1214,994,493,0
13527,1562,968,507,0
8338,1676,650,428,1
7658,1205,1476,449,0
6481,838,608,599,0
3601,1859,1177,511,1
6997,1292,1123,411,1
14500,1254,1175,329,1
8487,1120,782,594,0
11379,894,1266,305,1
8306,1170,1016,496,1
12531,1411,786,471,1
9736,1090,1214,532,1
9377,1588,1189,332,1
11729,1847,1319,332,0
9428,1165,1184,363,1
4776,1228,1266,517,0
7385,1275,622,370,0
9000,1517,1298,465,1
10390,1907,890,332,0
7362,1997,1135,540,0
6288,1216,735,599,0
10140,1955,721,342,1
11433,1240,1201,485,1
4826,1995,1383,377,1
9495,1969,816,468,0
13903,1175,1269,347,1
14735,823,655,373,1
11235,1537,693,473,0
5664,1950,927,451,0
6513,1354,704,311,0
11028,1895,1180,554,0
13305,1413,1301,418,0
13597,1836,852,324,0
14742,969,1173,380,1
6896,830,1285,528,0
10915,1970,833,321,0
14666,1816,1136,532,0
11849,1581,783,469,1
7676,1736,875,375,1
8663,1621,1416,570,1
6233,1910,734,394,0
5976,1690,1280,454,1
11030,817,670,597,0
12641,1118,1204,501,1
6737,812,794,467,0
7984,1402,994,326,0
10820,1188,1227,460,1
11268,1794,995,444,0
11556,913,1472,596,1
5845,1039,795,511,1
7862,1643,906,553,0
3522,1232,1279,453,1
7632,1320,1410,479,1
7606,1906,814,317,1
5499,1188,1285,459,1
10105,903,1463,578,0
6996,1277,619,582,1
6257,1047,883,438,1
7018,1755,1433,554,0
13009,976,1484,599,0
14177,1766,1418,350,1
3018,1685,965,581,1
9949,1461,717,470,1
14227,1749,1337,520,0
6305,1619,1272,509,0
7698,1797,973,360,1
14634,949,631,591,1
7362,1626,772,550,1
3403,1706,1271,462,0
11829,1375,1040,583,1
4669,886,853,327,0
5821,1345,882,352,0
4263,1795,1210,569,0
8755,1484,1173,309,0
6398,990,1444,359,0
10350,1734,1278,324,1
4328,1281,990,456,0
13777,1439,672,503,1
12050,1229,713,544,0
8460,942,622,466,1
9237,858,1229,422,0
9753,1272,662,530,1
13325,1075,1379,566,0
4938,1262,895,304,0
11846,1457,737,434,1
6259,1493,1055,525,1
5398,1527,1192,406,1
6605,1529,801,434,1
11798,896,832,540,1
14675,1134,882,429,0
12685,970,1270,598,0
5398,1019,1012,571,0
14554,1348,798,457,0
3884,871,1356,526,0
9514,1993,1172,473,0
5035,1590,620,527,0
3158,1673,1030,353,0
11124,1101,1077,550,0
9327,1160,884,338,1
6461,1242,1161,303,1
10795,1250,1473,449,0
8731,1828,1370,512,0
7498,1074,635,600,1
13274,1896,1158,317,0
3116,1340,1424,472,0
