wage,rent,food,transport,AFFORD
6502,1221,1035,406,0
5237,1721,1154,565,0
6648,1222,1145,577,0
6217,1645,906,579,1
7170,1273,1132,474,1
3684,1584,991,436,0
4350,1539,1011,353,0
5669,1723,994,401,1
7480,1201,1156,457,0
5636,1364,927,351,0
3522,1265,935,571,0
3077,1758,1100,600,1
4823,1210,1167,365,1
6323,1330,927,528,1
7389,1737,954,392,0
6051,1246,991,412,0
6219,1639,1220,389,0
7456,1251,1157,480,0
5258,1432,1247,400,1
3888,1758,1179,538,0
5278,1224,1299,536,0
4098,1767,949,492,1
3125,1331,1246,595,1
5336,1629,1288,494,1
4720,1755,1080,535,1
4357,1610,1212,423,0
4052,1523,1007,519,1
3069,1479,914,398,0
4592,1777,1256,456,0
4865,1272,1192,367,1
3265,1659,1140,575,0
7059,1603,1170,500,1
4339,1581,1201,533,0
3624,1752,1003,388,0
7324,1330,1050,555,1
6876,1658,1109,411,1
6620,1226,916,541,0
6807,1266,1299,599,1
5982,1736,1115,457,0
4859,1568,1207,594,0
6724,1572,1154,505,0
4119,1770,1299,386,1
3156,1234,914,516,0
6700,1690,1023,417,0
7675,1790,1202,507,1
7093,1227,1188,467,1
6003,1414,1209,462,1
3683,1391,1292,481,1
3698,1568,1091,515,1
4518,1591,1032,449,1
6434,1424,1176,507,1
5075,1755,999,568,0
5625,1600,1289,564,1
3174,1417,1103,400,0
6898,1368,1254,424,1
5316,1667,1187,471,0
3771,1755,1275,554,1
5271,1466,1216,371,0
3868,1407,1080,466,1
3518,1544,1200,405,1
6605,1562,1266,504,1
5676,1453,1080,353,0
4187,1332,1118,412,1
6594,1776,1051,394,0
7386,1332,1215,355,0
4491,1500,1247,364,0
7245,1600,933,514,1
5573,1407,1192,524,1
4620,1543,1110,587,1
4781,1595,1002,520,0
5570,1230,1051,518,1
5063,1589,1085,509,1
4222,1493,1214,452,0
3189,1569,1178,504,0
5941,1777,1034,454,0
3434,1798,1235,499,1
3880,1318,1052,396,0
7713,1381,1271,497,1
4391,1364,997,390,1
6996,1473,1260,369,0
3308,1415,1270,500,1
5226,1721,1211,370,0
5121,1486,1028,503,1
5680,1389,1198,481,1
5802,1277,1104,363,0
3302,1473,970,544,1
6409,1446,902,413,1
5463,1445,1056,505,1
7215,1337,967,383,1
5988,1654,911,568,0
5994,1393,1141,361,1
3962,1203,1019,402,0
6031,1610,1162,354,0
4779,1364,1287,383,1
5738,1667,1007,403,1
5448,1557,978,581,0
5170,1673,1123,554,1
6135,1613,955,503,1
4982,1385,986,417,1
3144,1423,1252,545,0
3457,1651,1086,466,0
3377,1561,997,452,0
5485,1434,989,540,1
5641,1317,1246,452,0
5311,1661,1228,506,1
5170,1511,950,363,0
5974,1633,940,578,0
5413,1206,1285,491,0
7367,1284,991,395,1
6108,1744,1191,549,0
7842,1773,1149,416,1
3680,1629,1147,427,0
4213,1739,1131,489,0
4874,1426,1047,468,1
5839,1318,1092,473,1
3101,1291,1040,599,1
6497,1483,1097,476,1
5099,1465,1055,563,1
5305,1755,1286,594,1
5859,1725,1145,359,1
4442,1581,1042,481,0
7182,1348,1101,444,0
6893,1458,1198,543,1
6847,1248,952,489,0
6051,1643,1175,570,1
4759,1361,1001,454,1
5591,1455,1248,579,1
5028,1595,1077,373,0
5980,1747,989,591,1
3370,1204,1130,470,0
4662,1759,917,389,0
7888,1294,1053,480,0
5272,1601,929,452,0
6623,1599,1053,452,1
4774,1476,1195,576,1
4549,1699,938,529,1
3819,1335,1042,517,1
5793,1579,1012,397,1
4691,1761,1059,593,0
4067,1659,922,392,0
4679,1341,957,587,1
