wage,grades
12469,4
12748,2
10819,1
7027,2
5215,2
10859,2
12478,1
13516,2
3638,2
6384,1
5637,2
10568,1
9146,2
14570,3
13734,1
5367,2
11402,3
3402,1
3070,1
12106,3
5773,4
4781,2
11897,3
8468,1
8387,1
8895,1
14669,3
5561,2
6047,4
11698,1
9612,2
3386,4
8714,2
14722,2
5939,2
12151,1
7142,1
9451,3
12447,4
8675,3
7234,4
4512,4
10131,2
9262,2
6610,3
4773,2
4307,2
6822,2
8019,4
11124,4
3341,4
8414,2
6678,1
3825,2
13543,1
4296,4
5300,4
5427,4
11725,1
7843,4
5587,4
4966,3
4498,2
4188,1
5928,3
11743,1
10677,4
10747,2
3983,1
10395,4
13145,4
12536,2
4833,3
4233,1
9637,1
11010,2
10256,3
12680,3
4594,1
12753,2
12589,1
10118,4
7442,4
6367,4
12122,3
7050,1
13669,2
7794,4
12039,1
14075,4
8438,1
5966,4
12656,4
8585,2
4064,2
10389,4
14279,1
10090,3
13241,4
10476,4
5026,1
8951,1
11207,3
7373,2
3522,1
5962,1
9381,2
6368,4
8535,2
13708,4
7379,2
5803,1
8431,1
7536,1
8408,4
10805,2
11269,3
5471,3
7966,1
8279,4
4576,3
3971,3
13075,1
13868,3
5468,4
4705,3
8161,1
8260,4
12412,1
7795,2
4213,4
11823,2
12790,3
4342,4
8082,1
10092,3
9571,2
12037,4
12397,3
8974,2
4031,2
3249,1
3092,1
5580,3
14394,3
4078,4
10446,1
11481,4
3388,2
14482,1
9858,4
12506,1
6445,4
11866,3
8011,2
8417,1
4632,2
11251,4
10892,2
5959,1
5911,3
7857,4
14330,4
12896,1
13593,4
3009,2
8178,3
4944,2
8005,1
10002,1
6155,2
12699,1
8301,3
9513,1
9126,2
6490,3
13873,1
4340,3
5584,1
12633,3
8705,3
6983,3
13916,3
5984,2
11539,3
8322,4
11152,3
7023,1
7836,4
9031,3
11778,1
14768,1
8919,1
6935,4
11339,2
3483,1
13588,3
6980,3
10764,3
9151,1
8099,3
14531,3
11556,1
5777,1
14208,2
14458,2
11643,1
13176,1
10709,4
12016,3
14601,2
10637,3
3777,1
5404,1
4531,2
7025,4
8971,1
5664,2
9555,2
12418,2
6729,1
8833,3
13579,4
5544,2
4764,1
10933,4
12133,4
14055,3
13877,1
6708,2
11261,3
13654,1
11840,2
7669,1
7195,1
6792,4
3264,4
13206,2
5037,2
12701,2
6403,2
14419,4
11908,4
4528,3
13111,4
12022,2
8575,3
3406,2
6011,4
13336,4
12839,1
12618,1
3834,2
10417,1
10460,2
6018,2
8791,2
5973,4
4916,4
11897,1
6214,1
14905,2
8913,4
13427,1
12534,2
5873,4
10087,1
11648,2
7988,4
4080,3
3819,2
9295,2
12425,4
10646,4
13040,3
12526,3
5155,1
5939,2
14987,3
8990,2
14726,1
11972,4
5112,1
10967,2
10658,3
6129,1
11875,1
11658,2
13372,4
9271,4
13617,2
14864,3
6374,1
12491,3
14729,2
11525,1
14551,1
11891,3
5110,3
6400,2
12154,2
4794,2
5016,3
4556,4
12000,4
6314,1
14122,4
3768,2
9121,4
12426,4
10248,3
12951,2
10283,3
14219,1
6527,3
9230,1
4695,1
14426,4
7285,1
11248,1
4459,3
13447,1
11576,1
8200,2
7323,1
14953,2
7476,3
8115,4
11650,3
12678,4
4547,2
11871,1
5364,2
14169,4
10806,2
4250,4
6719,3
4777,2
4616,4
3057,2
10466,2
10704,1
13443,1
13271,1
4855,2
12377,3
9206,1
7800,4
9245,3
13994,4
12023,1
11260,1
12440,3
12146,4
13986,3
3327,3
9263,1
10024,3
7970,3
9651,3
12177,4
8518,1
9717,3
4759,3
6494,1
3366,2
6430,1
9659,4
4541,2
5534,1
13178,1
13050,2
7673,1
8904,4
4440,1
9415,1
12620,2
14454,3
7004,3
9462,1
4898,2
12577,4
9031,3
5184,2
14357,1
6791,4
4170,3
5718,2
5712,1
11666,2
11051,3
7842,4
6596,1
11929,1
5025,4
3830,2
5844,3
6331,3
4366,4
9604,3
10008,1
13914,2
6511,3
11223,1
10032,4
7392,3
7538,1
10520,2
13731,2
5075,2
9903,4
4539,1
4878,2
11112,1
13816,2
9492,3
9814,3
5636,3
4890,4
6220,3
3150,4
6750,4
5615,2
14016,1
9995,4
4212,1
12256,2
3471,4
9570,4
4792,2
9050,2
13570,2
10557,1
14580,4
8785,4
5508,2
8079,1
10451,3
8088,4
8315,2
6057,3
9249,1
8652,2
9505,3
4730,4
14034,1
5544,1
8673,4
12522,4
10929,4
4581,1
12010,4
5578,3
9187,4
12695,1
7574,2
5827,1
12006,1
5784,1
10708,3
10963,2
11444,2
3933,1
3262,2
3759,1
12390,1
9567,4
4914,2
10159,4
9837,3
3981,1
14597,4
12317,2
13528,2
9731,2
14972,4
14568,2
10855,4
8896,3
14704,4
13424,1
13745,2
14335,4
14432,3
7740,1
10443,1
11467,2
10424,4
4510,3
7328,2
9816,4
4161,3
11434,1
3803,4
12046,1
8779,4
12834,2
7049,1
4018,3
10562,1
3724,2
11836,1
10748,1
9837,2
11529,1
4840,4
11215,2
6436,1
5929,3
5091,2
7323,2
14128,4
6872,3
11142,3
3790,1
3591,3
11932,2
7504,1
8230,1
7904,2
11711,2
11520,4
3223,2
6212,1
11556,3
8140,1
11612,4
6793,3
10264,4
14941,2
9362,2
12366,2
3182,4
5382,4
4767,2
8275,1
13603,3
9822,4
9498,1
8304,3
11873,2
5816,1
12311,3
14381,3
6448,4
8557,3
13458,1
11248,3
5664,4
11130,4
14150,3
11192,1
7502,1
10175,4
12799,4
11999,2
8486,2
4036,3
11268,2
13286,4
6384,1
6185,4
13962,3
4454,1
12778,3
11425,1
6125,1
8961,4
5204,1
14416,3
8383,1
10467,4
10488,1
3418,3
12817,1
6526,2
4850,2
12871,1
11753,2
8517,3
7831,1
8416,3
10509,1
14966,2
9432,1
12709,4
11739,4
10922,1
13616,4
5314,3
7815,2
9759,3
5832,2
4620,4
3280,4
10820,4
7241,2
13000,4
14574,2
13395,3
12558,3
6946,4
3965,4
9950,1
3755,3
4188,3
3149,1
13869,4
11473,3
8475,1
9753,2
10337,3
3387,3
6188,2
10518,4
5481,2
13705,3
12431,2
11322,3
11931,2
6425,4
10438,4
6730,2
6804,1
