wage,grades,city,age,gender,afford
118213,1,2,22,1,1
208359,3,2,25,2,1
230754,4,3,18,1,1
220141,2,7,20,2,1
97871,3,7,22,1,1
177862,4,3,23,1,1
81299,1,5,22,1,0
92645,4,4,19,1,1
117399,1,8,19,2,1
103489,3,3,25,2,1
219454,4,4,20,2,1
159205,2,3,25,2,1
108624,1,4,18,2,1
230943,4,6,19,2,1
217658,3,3,19,1,1
190862,3,6,20,2,1
80752,4,3,22,1,1
70741,4,6,18,1,1
79966,1,4,18,1,0
226273,2,2,21,1,1
127964,4,8,23,1,1
190173,4,7,23,2,1
117191,3,6,24,2,1
133726,2,3,18,1,1
146255,1,8,20,2,1
225142,2,4,22,2,1
167866,3,5,23,1,1
197653,3,6,20,1,1
111512,2,6,18,1,1
236993,3,1,22,2,1
99089,3,8,24,1,1
84116,1,1,22,1,0
170790,1,4,19,1,1
186143,3,2,20,2,1
147794,1,2,21,1,1
148638,1,7,19,1,1
70839,4,7,18,2,1
233831,2,8,21,1,1
148343,1,3,18,2,1
230967,3,8,25,1,1
78079,3,5,23,2,1
172786,4,3,22,1,1
224814,4,1,24,1,1
150186,4,6,24,2,1
102623,3,3,20,1,1
235170,3,3,24,1,1
145187,2,2,22,1,1
163550,1,3,21,2,1
164322,2,4,18,1,1
124872,4,3,24,2,1
136181,4,3,21,1,1
205350,2,6,20,2,1
130794,4,2,18,1,1
193313,1,5,20,2,1
153102,1,2,18,1,1
120368,1,4,22,1,1
158011,3,4,21,2,1
194725,3,4,19,2,1
75231,4,4,18,1,1
232480,3,7,23,1,1
153241,1,6,18,2,1
190258,3,6,21,1,1
89215,3,6,23,2,1
184408,4,5,22,2,1
167514,2,3,25,2,1
201657,1,3,24,1,1
219457,3,5,21,2,1
170767,1,1,20,1,1
74562,2,5,20,2,0
232888,1,2,18,2,1
196536,3,2,25,1,1
195446,4,5,24,2,1
195090,4,2,20,2,1
104456,3,4,18,1,1
170164,1,6,25,1,1
149134,4,4,25,1,1
130943,4,8,22,2,1
153416,3,3,25,2,1
215798,1,6,23,1,1
190291,3,3,20,1,1
76569,4,1,22,2,1
79318,2,7,21,1,0
194843,3,5,22,2,1
194718,4,6,22,1,1
158687,4,2,18,1,1
94081,3,2,20,2,1
118817,3,4,22,1,1
124320,4,8,20,2,1
193957,4,6,22,2,1
127454,1,2,21,1,1
81984,3,8,24,2,1
151853,3,8,22,1,1
160702,2,1,23,1,1
163504,4,7,23,2,1
101155,1,7,24,1,1
174882,4,7,22,2,1
178546,4,4,25,1,1
173682,2,8,21,2,1
179333,4,2,23,1,1
84834,1,7,21,2,0
71488,3,4,18,2,1
169500,4,8,19,1,1
119140,4,7,19,1,1
178346,2,4,25,2,1
177736,4,4,22,1,1
115511,4,3,24,2,1
234217,4,7,24,2,1
208870,4,2,19,2,1
205050,3,8,24,2,1
167357,2,5,19,2,1
131918,4,3,24,1,1
185916,3,6,19,1,1
186775,3,8,19,1,1
152184,1,8,19,1,1
182596,2,8,24,2,1
228288,3,3,19,2,1
182244,4,6,21,2,1
176216,1,1,23,1,1
90190,3,8,18,2,1
199994,1,5,24,2,1
168032,2,1,21,2,1
181158,4,6,22,2,1
179266,3,2,21,2,1
207278,4,3,22,2,1
222158,2,2,19,2,1
225930,4,5,19,2,1
191937,3,1,24,1,1
88023,1,8,22,1,0
150693,2,1,18,2,1
236479,4,6,22,2,1
138486,3,8,21,1,1
139189,1,2,24,2,1
128604,3,7,20,1,1
197999,2,7,25,2,1
116171,1,7,21,1,1
238349,1,2,22,1,1
181150,4,7,25,2,1
236118,3,8,24,2,1
73478,4,8,25,2,1
188909,3,3,21,1,1
238098,2,2,25,2,1
211115,4,3,22,1,1
190728,4,8,22,1,1
192853,2,1,21,2,1
169015,2,5,22,1,1
93207,2,1,21,2,0
150780,2,5,21,1,1
85454,2,3,20,2,0
220900,4,2,21,2,1
174527,3,8,22,1,1
85642,2,2,18,1,0
219153,4,7,21,2,1
227914,3,4,24,2,1
103153,2,6,21,1,1
183041,3,8,23,1,1
190426,3,7,24,1,1
83137,4,6,24,2,1
209127,3,3,21,1,1
181221,1,1,24,1,1
161952,2,8,19,1,1
229402,2,3,18,2,1
88079,2,8,18,2,0
208530,2,7,23,1,1
103621,4,8,24,1,1
79357,3,4,20,1,1
125912,1,1,18,1,1
118898,1,5,22,1,1
142670,3,5,25,1,1
192253,4,3,24,2,1
122686,4,6,21,1,1
158816,2,7,24,2,1
186091,2,4,25,1,1
199761,1,6,23,2,1
163943,2,3,18,2,1
231539,3,7,20,2,1
107407,1,6,25,1,1
179509,3,5,20,2,1
185478,1,7,25,1,1
95637,4,2,20,1,1
181653,4,7,21,2,1
219980,1,1,20,2,1
138412,1,8,24,2,1
83807,2,6,18,1,0
225952,4,5,25,2,1
187017,1,2,22,2,1
70576,3,6,21,1,1
161288,1,7,18,2,1
180078,2,2,22,1,1
148525,1,3,22,2,1
229592,2,7,21,1,1
195547,1,6,20,1,1
172883,1,3,18,2,1
225047,4,7,18,2,1
107511,1,1,18,2,1
71990,2,5,25,2,0
96809,4,1,22,1,1
198206,1,8,19,2,1
226503,4,1,24,1,1
203015,2,7,20,2,1
