Student_id,Gender,Bac_Type,Monthly_Wage_Public,School Tuition,Can_Afford,Scholarship,Can_Afford_Scholarship
1,Female,Scientific,6381,30000,1,1,1
2,Male,Scientific,6116,30000,1,1,1
3,Female,Literature,6346,30000,1,1,1
4,Male,Literature,7169,30000,1,1,1
5,Female,Scientific,8663,30000,1,1,1
6,Female,Literature,8712,30000,1,1,1
7,Female,Literature,9139,30000,1,1,1
8,Female,Literature,8456,30000,1,1,1
9,Male,Literature,6615,30000,1,1,1
10,Male,Literature,6183,30000,1,1,1
11,Female,Scientific,6330,30000,1,1,1
12,Female,Scientific,6224,30000,1,1,1
13,Female,Literature,9400,30000,1,1,1
14,Male,Literature,9388,30000,1,1,1
15,Female,Literature,7142,30000,1,1,1
16,Male,Scientific,6005,30000,1,1,1
17,Male,Scientific,8896,30000,1,1,1
18,Female,Scientific,8347,30000,1,1,1
19,Female,Literature,7271,30000,1,1,1
20,Male,Scientific,7026,30000,1,1,1
21,Male,Literature,8476,30000,1,1,1
22,Male,Literature,7451,30000,1,1,1
23,Female,Scientific,8860,30000,1,1,1
24,Male,Scientific,6737,30000,1,1,1
25,Female,Literature,9701,30000,1,1,1
26,Female,Scientific,9287,30000,1,1,1
27,Female,Scientific,9924,30000,1,1,1
28,Male,Literature,7716,30000,1,1,1
29,Male,Literature,8008,30000,1,1,1
30,Male,Literature,6531,30000,1,1,1
31,Female,Literature,6840,30000,1,1,1
32,Female,Scientific,8122,30000,1,1,1
33,Male,Literature,7961,30000,1,1,1
34,Male,Scientific,7642,30000,1,1,1
35,Female,Scientific,7949,30000,1,1,1
36,Female,Scientific,7538,30000,1,1,1
37,Male,Literature,8424,30000,1,1,1
38,Male,Scientific,8342,30000,1,1,1
39,Female,Scientific,6092,30000,1,1,1
40,Male,Literature,6941,30000,1,1,1
41,Female,Literature,9081,30000,1,1,1
42,Female,Scientific,6735,30000,1,1,1
43,Female,Scientific,6928,30000,1,1,1
44,Female,Scientific,6827,30000,1,1,1
45,Female,Scientific,9752,30000,1,1,1
46,Male,Scientific,7957,30000,1,1,1
47,Female,Literature,9918,30000,1,1,1
48,Male,Scientific,8039,30000,1,1,1
49,Female,Literature,9733,30000,1,1,1
50,Female,Scientific,8881,30000,1,1,1
51,Male,Scientific,9650,30000,1,1,1
52,Female,Scientific,9577,30000,1,1,1
53,Female,Scientific,8129,30000,1,1,1
54,Male,Literature,7904,30000,1,1,1
