Gender,Age,City,Tuition,Signup,Grades,ParentWage,CanAfford,ScholarshipGrades,SchGrAfford,Competence,SchGrComAfford,Rural,SchGrRuAfford,SchGrRuComAfford
Female,23,Khenifra,30000,3000,TresBien,17156,,,,,,,,
Male,25,BeniMellal,30000,3000,Passable,15072,,,,,,,,
Male,22,Khouribga,30000,3000,Moyenne,4622,,,,,,,,
Male,18,Khenifra,30000,3000,TresBien,16438,,,,,,,,
Female,25,Tadla,30000,3000,Bien,6696,,,,,,,,
Male,20,FqihBenSalah,30000,3000,Moyenne,5680,,,,,,,,
Female,24,BeniMellal,30000,3000,Passable,19801,,,,,,,,
Female,19,Khenifra,30000,3000,TresBien,15942,,,,,,,,
Female,25,FqihBenSalah,30000,3000,Moyenne,17212,,,,,,,,
Male,22,BeniMellal,30000,3000,TresBien,18724,,,,,,,,
Female,20,Azilal,30000,3000,Passable,4096,,,,,,,,
Male,22,Khouribga,30000,3000,Passable,19999,,,,,,,,
Female,19,Ouedzem,30000,3000,Passable,3805,,,,,,,,
Male,18,Rural,30000,3000,Moyenne,6708,,,,,,,,
Female,20,FqihBenSalah,30000,3000,Bien,6524,,,,,,,,
Female,25,Rural,30000,3000,Passable,8364,,,,,,,,
Female,20,Tadla,30000,3000,Bien,12420,,,,,,,,
Female,19,FqihBenSalah,30000,3000,Passable,5453,,,,,,,,
Male,21,FqihBenSalah,30000,3000,TresBien,13098,,,,,,,,
Female,24,Khouribga,30000,3000,Passable,12651,,,,,,,,
Female,19,Tadla,30000,3000,TresBien,17192,,,,,,,,
Male,18,Azilal,30000,3000,Bien,6180,,,,,,,,
Female,24,Tadla,30000,3000,TresBien,14367,,,,,,,,
Male,23,Azilal,30000,3000,TresBien,9253,,,,,,,,
Female,23,Rural,30000,3000,TresBien,17027,,,,,,,,
Male,22,FqihBenSalah,30000,3000,Bien,16665,,,,,,,,
Female,22,Azilal,30000,3000,TresBien,19399,,,,,,,,
Female,22,Rural,30000,3000,Bien,7953,,,,,,,,
Male,21,Rural,30000,3000,Bien,10752,,,,,,,,
Female,18,Tadla,30000,3000,Bien,16383,,,,,,,,
Female,24,Tadla,30000,3000,Moyenne,15581,,,,,,,,
Male,21,Tadla,30000,3000,Moyenne,17233,,,,,,,,
Female,20,Rural,30000,3000,TresBien,13297,,,,,,,,
Female,21,Rural,30000,3000,Moyenne,19917,,,,,,,,
Male,24,Tadla,30000,3000,Passable,15042,,,,,,,,
Female,19,Khouribga,30000,3000,Moyenne,12344,,,,,,,,
Female,19,Khouribga,30000,3000,Passable,15195,,,,,,,,
Male,22,Azilal,30000,3000,TresBien,14395,,,,,,,,
Female,23,Khouribga,30000,3000,Moyenne,8483,,,,,,,,
Female,25,Tadla,30000,3000,Passable,10504,,,,,,,,
Female,20,FqihBenSalah,30000,3000,Moyenne,13076,,,,,,,,
Male,20,Rural,30000,3000,Passable,11359,,,,,,,,
Male,23,Khouribga,30000,3000,TresBien,10645,,,,,,,,
Female,24,Tadla,30000,3000,Moyenne,10485,,,,,,,,
Male,23,Khenifra,30000,3000,Bien,13232,,,,,,,,
Female,22,Khenifra,30000,3000,Passable,14161,,,,,,,,
