wage,yearlywage,thirdyw,tuition,signup,scholarship30,scholarship50,scholarship70,afford1,afford2,reduction,grade,afford3,afford4
9455,276,394,30000,3000,21000,15000,9000,775,255,50,1,848,213
10599,889,80,30000,3000,21000,15000,9000,854,160,50,2,13,911
7116,312,516,30000,3000,21000,15000,9000,219,290,50,1,247,141
18367,99,5,30000,3000,21000,15000,9000,635,815,50,1,226,346
7960,319,673,30000,3000,21000,15000,9000,669,443,50,2,54,391
16166,780,471,30000,3000,21000,15000,9000,383,788,50,2,829,717
11635,251,206,30000,3000,21000,15000,9000,932,445,50,2,460,998
15219,162,152,30000,3000,21000,15000,9000,880,759,50,3,945,414
8152,413,507,30000,3000,21000,15000,9000,696,977,50,3,964,782
17887,652,699,30000,3000,21000,15000,9000,649,496,50,3,654,634
10751,325,960,30000,3000,21000,15000,9000,59,833,50,3,734,750
8908,900,384,30000,3000,21000,15000,9000,682,179,50,1,405,606
17354,669,965,30000,3000,21000,15000,9000,159,96,50,2,245,372
17737,35,727,30000,3000,21000,15000,9000,432,439,50,1,165,423
4285,520,691,30000,3000,21000,15000,9000,553,566,50,2,518,140
12176,482,535,30000,3000,21000,15000,9000,816,221,50,2,416,761
18068,375,410,30000,3000,21000,15000,9000,509,858,50,4,802,157
8967,235,418,30000,3000,21000,15000,9000,253,212,50,1,174,837
17913,653,722,30000,3000,21000,15000,9000,930,190,50,2,978,961
13466,608,170,30000,3000,21000,15000,9000,136,15,50,1,999,976
9656,597,381,30000,3000,21000,15000,9000,1000,624,50,4,843,373
4862,924,445,30000,3000,21000,15000,9000,967,585,50,2,487,516
11587,730,919,30000,3000,21000,15000,9000,748,597,50,1,249,62
10944,173,946,30000,3000,21000,15000,9000,162,885,50,4,48,98
8540,537,872,30000,3000,21000,15000,9000,56,824,50,3,83,259
9254,847,490,30000,3000,21000,15000,9000,119,844,50,1,281,905
5539,515,199,30000,3000,21000,15000,9000,478,103,50,3,648,585
10315,270,186,30000,3000,21000,15000,9000,32,560,50,3,279,384
4118,854,148,30000,3000,21000,15000,9000,484,28,50,4,215,810
16206,441,963,30000,3000,21000,15000,9000,758,291,50,4,216,835
18537,335,959,30000,3000,21000,15000,9000,64,979,50,3,160,225
16401,375,518,30000,3000,21000,15000,9000,757,476,50,1,749,985
16760,66,95,30000,3000,21000,15000,9000,210,291,50,2,660,364
6857,104,730,30000,3000,21000,15000,9000,183,260,50,3,129,577
19910,979,838,30000,3000,21000,15000,9000,899,147,50,4,281,151
12493,168,656,30000,3000,21000,15000,9000,488,422,50,1,58,718
17158,385,265,30000,3000,21000,15000,9000,589,105,50,3,514,416
14712,454,549,30000,3000,21000,15000,9000,260,922,50,1,654,134
15163,295,975,30000,3000,21000,15000,9000,6,971,50,2,496,285
13287,406,123,30000,3000,21000,15000,9000,951,647,50,3,439,992
14019,686,642,30000,3000,21000,15000,9000,974,783,50,2,282,971
5859,68,757,30000,3000,21000,15000,9000,399,625,50,1,115,16
8136,879,332,30000,3000,21000,15000,9000,748,553,50,4,376,426
4289,326,133,30000,3000,21000,15000,9000,958,215,50,2,518,488
15911,592,828,30000,3000,21000,15000,9000,924,763,50,4,770,949
7538,524,539,30000,3000,21000,15000,9000,165,837,50,1,80,102
11650,643,326,30000,3000,21000,15000,9000,44,745,50,1,170,492
10211,329,533,30000,3000,21000,15000,9000,848,507,50,4,16,883
11666,362,806,30000,3000,21000,15000,9000,636,387,50,4,137,857
17309,497,656,30000,3000,21000,15000,9000,997,98,50,4,396,989
6897,892,64,30000,3000,21000,15000,9000,675,172,50,1,954,321
19303,271,132,30000,3000,21000,15000,9000,315,652,50,2,664,453
10971,502,447,30000,3000,21000,15000,9000,876,483,50,1,376,735
6967,30,585,30000,3000,21000,15000,9000,362,273,50,4,309,526
19380,670,437,30000,3000,21000,15000,9000,128,131,50,3,24,623
17203,517,525,30000,3000,21000,15000,9000,973,184,50,2,533,529
7216,867,902,30000,3000,21000,15000,9000,473,504,50,1,141,531
8577,111,265,30000,3000,21000,15000,9000,879,836,50,2,618,286
9528,324,315,30000,3000,21000,15000,9000,829,132,50,1,99,810
15343,606,953,30000,3000,21000,15000,9000,741,486,50,4,1,787
7108,416,527,30000,3000,21000,15000,9000,726,47,50,2,69,390
6450,141,9,30000,3000,21000,15000,9000,993,625,50,1,44,656
8784,917,797,30000,3000,21000,15000,9000,499,570,50,3,724,327
10938,107,887,30000,3000,21000,15000,9000,678,405,50,1,553,490
19375,111,193,30000,3000,21000,15000,9000,451,363,50,2,918,163
13564,484,328,30000,3000,21000,15000,9000,100,979,50,4,264,585
10048,298,201,30000,3000,21000,15000,9000,335,678,50,3,734,49
10833,834,416,30000,3000,21000,15000,9000,671,692,50,4,413,657
16905,676,886,30000,3000,21000,15000,9000,542,832,50,4,829,537
14993,853,69,30000,3000,21000,15000,9000,188,184,50,2,966,509
14671,680,534,30000,3000,21000,15000,9000,374,908,50,4,981,219
19731,923,715,30000,3000,21000,15000,9000,929,862,50,3,588,344
17212,559,241,30000,3000,21000,15000,9000,425,500,50,2,127,142
11466,775,441,30000,3000,21000,15000,9000,755,178,50,2,699,410
14612,935,130,30000,3000,21000,15000,9000,372,888,50,1,585,724
5904,550,146,30000,3000,21000,15000,9000,248,343,50,2,934,354
16924,539,576,30000,3000,21000,15000,9000,856,243,50,2,279,82
17446,981,95,30000,3000,21000,15000,9000,167,689,50,1,46,664
6992,676,584,30000,3000,21000,15000,9000,322,918,50,2,81,111
6705,239,242,30000,3000,21000,15000,9000,262,146,50,4,611,342
17508,329,328,30000,3000,21000,15000,9000,843,151,50,4,548,24
12883,245,237,30000,3000,21000,15000,9000,970,615,50,4,822,479
19930,857,2,30000,3000,21000,15000,9000,162,31,50,3,921,440
6798,254,98,30000,3000,21000,15000,9000,805,789,50,1,875,506
10955,472,310,30000,3000,21000,15000,9000,933,944,50,2,763,112
19314,752,677,30000,3000,21000,15000,9000,957,423,50,1,303,506
5662,229,217,30000,3000,21000,15000,9000,534,684,50,4,335,95
10189,442,577,30000,3000,21000,15000,9000,104,982,50,4,180,435
10665,271,258,30000,3000,21000,15000,9000,586,217,50,1,354,456
4251,221,461,30000,3000,21000,15000,9000,288,331,50,4,709,168
10540,755,536,30000,3000,21000,15000,9000,668,463,50,1,195,912
19019,549,467,30000,3000,21000,15000,9000,353,124,50,2,696,278
5727,861,485,30000,3000,21000,15000,9000,978,333,50,1,144,302
16144,352,252,30000,3000,21000,15000,9000,712,248,50,3,89,678
18146,905,861,30000,3000,21000,15000,9000,707,689,50,2,528,604
6648,589,928,30000,3000,21000,15000,9000,257,204,50,3,557,655
9068,735,973,30000,3000,21000,15000,9000,836,503,50,3,864,745
11949,508,103,30000,3000,21000,15000,9000,619,988,50,1,174,191
15646,824,225,30000,3000,21000,15000,9000,961,182,50,2,425,932
9147,625,256,30000,3000,21000,15000,9000,102,204,50,1,767,405
19795,623,559,30000,3000,21000,15000,9000,708,960,50,4,793,86
7903,232,312,30000,3000,21000,15000,9000,780,177,50,4,462,7
14096,333,463,30000,3000,21000,15000,9000,932,562,50,3,227,169
9748,160,754,30000,3000,21000,15000,9000,583,185,50,3,547,312
16793,847,977,30000,3000,21000,15000,9000,40,394,50,3,594,539
8441,1000,966,30000,3000,21000,15000,9000,242,392,50,1,950,289
13494,250,845,30000,3000,21000,15000,9000,730,436,50,2,354,793
13843,759,640,30000,3000,21000,15000,9000,354,480,50,4,11,159
8236,892,728,30000,3000,21000,15000,9000,56,342,50,2,861,628
18277,835,818,30000,3000,21000,15000,9000,75,893,50,2,615,359
17999,901,614,30000,3000,21000,15000,9000,631,232,50,3,146,179
5783,857,62,30000,3000,21000,15000,9000,757,899,50,1,869,203
10606,395,509,30000,3000,21000,15000,9000,432,819,50,1,295,872
6075,791,13,30000,3000,21000,15000,9000,845,574,50,2,721,186
6841,659,494,30000,3000,21000,15000,9000,32,403,50,2,148,806
19244,50,772,30000,3000,21000,15000,9000,501,2,50,1,351,570
5064,146,372,30000,3000,21000,15000,9000,631,694,50,2,417,989
16678,69,415,30000,3000,21000,15000,9000,291,254,50,2,918,908
15265,52,896,30000,3000,21000,15000,9000,959,604,50,2,353,179
19846,713,361,30000,3000,21000,15000,9000,43,383,50,1,909,302
8780,778,363,30000,3000,21000,15000,9000,867,151,50,4,702,557
13001,594,319,30000,3000,21000,15000,9000,167,920,50,3,171,931
16231,664,781,30000,3000,21000,15000,9000,623,803,50,2,507,745
19577,462,516,30000,3000,21000,15000,9000,658,954,50,3,830,231
8651,553,486,30000,3000,21000,15000,9000,466,325,50,3,769,129
18579,345,366,30000,3000,21000,15000,9000,417,733,50,2,663,60
9740,3,463,30000,3000,21000,15000,9000,581,687,50,1,5,308
19899,395,458,30000,3000,21000,15000,9000,26,374,50,4,607,237
14671,567,855,30000,3000,21000,15000,9000,884,438,50,3,43,123
8547,109,247,30000,3000,21000,15000,9000,784,632,50,4,276,936
16537,373,696,30000,3000,21000,15000,9000,984,804,50,2,222,918
11466,443,197,30000,3000,21000,15000,9000,757,445,50,1,105,612
15467,727,844,30000,3000,21000,15000,9000,823,772,50,1,831,363
18978,188,282,30000,3000,21000,15000,9000,788,704,50,3,439,404
16988,928,419,30000,3000,21000,15000,9000,152,935,50,2,170,790
15415,470,84,30000,3000,21000,15000,9000,414,973,50,4,350,126
15837,931,830,30000,3000,21000,15000,9000,931,190,50,3,193,990
12880,190,181,30000,3000,21000,15000,9000,469,419,50,2,727,467
18577,710,316,30000,3000,21000,15000,9000,567,296,50,1,641,107
8303,582,434,30000,3000,21000,15000,9000,105,238,50,2,592,952
18804,107,531,30000,3000,21000,15000,9000,661,887,50,2,863,110
12169,155,827,30000,3000,21000,15000,9000,384,290,50,1,318,580
8807,764,141,30000,3000,21000,15000,9000,416,455,50,1,131,736
17243,84,39,30000,3000,21000,15000,9000,688,383,50,4,683,33
15589,222,361,30000,3000,21000,15000,9000,232,99,50,4,177,853
7450,413,629,30000,3000,21000,15000,9000,809,419,50,3,307,40
7587,284,75,30000,3000,21000,15000,9000,721,178,50,2,590,738
19213,223,855,30000,3000,21000,15000,9000,387,606,50,2,951,920
14911,581,926,30000,3000,21000,15000,9000,365,129,50,1,194,622
6497,932,369,30000,3000,21000,15000,9000,9,427,50,1,7,694
10996,636,361,30000,3000,21000,15000,9000,562,312,50,4,836,657
9545,117,289,30000,3000,21000,15000,9000,249,177,50,4,789,836
5935,134,953,30000,3000,21000,15000,9000,245,991,50,4,371,430
10367,158,395,30000,3000,21000,15000,9000,48,230,50,2,101,567
8832,297,141,30000,3000,21000,15000,9000,782,149,50,3,163,296
15233,106,256,30000,3000,21000,15000,9000,939,543,50,2,266,828
13656,479,994,30000,3000,21000,15000,9000,817,417,50,3,611,157
6263,142,474,30000,3000,21000,15000,9000,615,639,50,2,528,99
11631,371,789,30000,3000,21000,15000,9000,879,959,50,4,54,521
19819,753,903,30000,3000,21000,15000,9000,114,690,50,2,11,932
10310,355,99,30000,3000,21000,15000,9000,874,947,50,3,780,109
5645,955,480,30000,3000,21000,15000,9000,99,507,50,4,892,462
6190,686,266,30000,3000,21000,15000,9000,352,348,50,2,576,193
11581,736,411,30000,3000,21000,15000,9000,431,263,50,4,689,758
17760,876,314,30000,3000,21000,15000,9000,905,868,50,3,26,867
11970,680,166,30000,3000,21000,15000,9000,620,404,50,2,499,146
10509,247,424,30000,3000,21000,15000,9000,621,329,50,3,902,350
14502,635,247,30000,3000,21000,15000,9000,335,102,50,4,837,470
17673,81,263,30000,3000,21000,15000,9000,396,339,50,3,305,727
17671,965,813,30000,3000,21000,15000,9000,707,994,50,1,472,703
9902,428,912,30000,3000,21000,15000,9000,210,555,50,4,740,819
5411,702,552,30000,3000,21000,15000,9000,655,746,50,2,308,660
9054,515,461,30000,3000,21000,15000,9000,218,597,50,4,28,911
16764,709,943,30000,3000,21000,15000,9000,451,57,50,1,729,601
15580,250,765,30000,3000,21000,15000,9000,776,56,50,1,256,48
7137,595,863,30000,3000,21000,15000,9000,205,58,50,4,539,880
17425,373,29,30000,3000,21000,15000,9000,167,708,50,1,783,294
8223,390,561,30000,3000,21000,15000,9000,385,360,50,2,702,251
8084,564,922,30000,3000,21000,15000,9000,805,85,50,4,143,661
18492,907,819,30000,3000,21000,15000,9000,732,732,50,2,271,806
19027,556,257,30000,3000,21000,15000,9000,479,309,50,3,183,346
9334,416,535,30000,3000,21000,15000,9000,929,678,50,1,26,440
9982,340,361,30000,3000,21000,15000,9000,157,605,50,3,377,23
4091,115,771,30000,3000,21000,15000,9000,520,551,50,2,715,930
12278,349,328,30000,3000,21000,15000,9000,622,956,50,3,407,915
17502,612,779,30000,3000,21000,15000,9000,557,158,50,3,228,69
9752,327,331,30000,3000,21000,15000,9000,489,688,50,3,449,412
7752,627,669,30000,3000,21000,15000,9000,620,661,50,1,258,938
9658,466,300,30000,3000,21000,15000,9000,218,984,50,2,728,400
17866,886,375,30000,3000,21000,15000,9000,191,438,50,3,55,975
7008,980,641,30000,3000,21000,15000,9000,514,6,50,1,555,978
13293,789,467,30000,3000,21000,15000,9000,911,478,50,1,902,793
13841,564,395,30000,3000,21000,15000,9000,282,488,50,2,816,559
11028,451,991,30000,3000,21000,15000,9000,918,592,50,3,231,716
10431,393,922,30000,3000,21000,15000,9000,509,895,50,4,829,339
9798,154,456,30000,3000,21000,15000,9000,687,855,50,2,493,737
18323,984,948,30000,3000,21000,15000,9000,341,361,50,4,300,606
17185,427,359,30000,3000,21000,15000,9000,984,867,50,3,995,436
19051,488,647,30000,3000,21000,15000,9000,234,331,50,1,131,921
15741,826,845,30000,3000,21000,15000,9000,863,602,50,4,77,6
18091,353,290,30000,3000,21000,15000,9000,410,336,50,1,515,610
12612,778,229,30000,3000,21000,15000,9000,885,382,50,3,448,846
9435,797,993,30000,3000,21000,15000,9000,890,673,50,3,513,463
6306,226,875,30000,3000,21000,15000,9000,274,24,50,2,622,990
19728,105,236,30000,3000,21000,15000,9000,60,376,50,3,58,487
19196,495,6,30000,3000,21000,15000,9000,188,12,50,1,73,712
11168,691,662,30000,3000,21000,15000,9000,105,649,50,3,727,267
14380,34,73,30000,3000,21000,15000,9000,274,274,50,1,910,306
14384,28,364,30000,3000,21000,15000,9000,584,651,50,2,675,583
7998,670,533,30000,3000,21000,15000,9000,778,450,50,2,528,837
5911,377,43,30000,3000,21000,15000,9000,469,477,50,1,323,892
14270,497,422,30000,3000,21000,15000,9000,201,745,50,3,441,576
12526,288,505,30000,3000,21000,15000,9000,292,288,50,4,33,987
9497,104,259,30000,3000,21000,15000,9000,522,734,50,2,551,934
7137,827,437,30000,3000,21000,15000,9000,638,402,50,3,613,134
12365,37,162,30000,3000,21000,15000,9000,639,868,50,4,898,712
16797,903,477,30000,3000,21000,15000,9000,612,179,50,1,544,175
5419,375,337,30000,3000,21000,15000,9000,87,886,50,3,92,88
17442,241,844,30000,3000,21000,15000,9000,32,490,50,2,879,880
15609,442,955,30000,3000,21000,15000,9000,926,854,50,2,743,211
4826,666,93,30000,3000,21000,15000,9000,999,161,50,1,650,557
13746,878,147,30000,3000,21000,15000,9000,926,791,50,2,808,37
12769,937,738,30000,3000,21000,15000,9000,977,495,50,4,841,301
14408,128,407,30000,3000,21000,15000,9000,907,46,50,2,589,625
13499,191,276,30000,3000,21000,15000,9000,302,228,50,2,852,192
6413,741,822,30000,3000,21000,15000,9000,864,742,50,1,825,812
5200,977,611,30000,3000,21000,15000,9000,324,715,50,3,669,420
14200,297,458,30000,3000,21000,15000,9000,257,23,50,1,399,754
5359,704,593,30000,3000,21000,15000,9000,96,814,50,1,919,214
13319,797,547,30000,3000,21000,15000,9000,235,932,50,3,608,881
4310,378,246,30000,3000,21000,15000,9000,905,71,50,2,834,177
11890,857,735,30000,3000,21000,15000,9000,119,140,50,4,150,388
13998,874,99,30000,3000,21000,15000,9000,192,608,50,4,636,63
6261,966,906,30000,3000,21000,15000,9000,36,183,50,2,53,329
14239,793,102,30000,3000,21000,15000,9000,393,244,50,4,400,733
7114,808,814,30000,3000,21000,15000,9000,387,185,50,1,224,475
9841,618,1,30000,3000,21000,15000,9000,556,939,50,3,478,26
19600,826,31,30000,3000,21000,15000,9000,466,834,50,3,839,881
8655,373,431,30000,3000,21000,15000,9000,214,808,50,2,419,462
4613,730,163,30000,3000,21000,15000,9000,821,3,50,3,206,564
16319,30,66,30000,3000,21000,15000,9000,528,599,50,1,339,824
