wage,gender,age,city,institution,interest
9519,2,22,3,16,1
3024,2,23,6,24,0
5633,2,21,1,4,0
3754,2,23,3,37,1
13085,1,18,3,33,1
11573,1,25,2,23,1
14775,2,24,3,22,0
10822,1,25,6,29,1
9602,1,26,8,31,0
6683,1,18,3,10,1
14820,2,26,6,31,0
4345,1,24,3,22,1
7138,1,23,8,20,1
4733,1,24,3,11,1
13447,2,21,5,40,1
8636,2,21,7,29,1
11068,2,19,4,6,0
13232,1,19,1,6,1
3116,1,25,6,9,1
13233,1,26,4,29,1
3777,2,24,2,18,1
8527,2,18,3,24,1
11543,2,21,1,3,0
6653,1,22,3,35,1
14053,1,24,4,17,1
5712,2,22,5,9,0
6360,2,25,8,34,1
8702,1,24,5,29,1
9188,1,23,5,17,0
9303,1,18,2,27,1
14258,1,19,3,2,1
13484,2,19,2,14,0
9171,1,20,3,26,1
14549,1,26,4,10,1
8255,2,18,8,27,1
13330,2,18,3,23,0
14234,1,18,8,7,0
9884,2,18,8,15,1
10315,1,24,6,39,0
12937,2,25,5,36,0
14395,2,19,6,22,1
11865,1,22,1,24,0
12294,2,20,3,23,0
14877,1,21,2,8,1
13972,1,24,4,4,1
14986,2,20,8,18,1
5239,1,20,5,5,1
3892,1,24,8,17,0
9252,1,23,1,3,1
8235,1,19,5,25,0
6787,1,26,6,21,0
13336,2,19,5,13,1
4214,1,20,2,35,1
12093,2,20,6,6,1
13789,1,26,3,36,0
8295,2,19,8,16,0
12655,1,19,7,40,0
8183,1,25,6,20,1
5152,1,23,5,1,0
12455,1,18,1,7,0
5010,2,25,3,26,0
4017,1,25,5,22,0
10634,2,25,4,36,1
14610,1,19,8,18,1
4032,1,18,4,40,0
11953,1,24,1,16,1
7498,2,20,3,18,1
3928,1,19,6,25,0
12585,1,25,5,37,1
5738,1,18,4,25,0
3486,2,20,7,38,0
4178,2,25,2,40,0
12301,1,25,6,8,0
10949,2,25,3,37,0
12112,2,19,4,29,1
10748,2,20,5,26,1
14496,2,26,6,37,0
10510,1,20,3,38,1
10887,1,22,2,3,0
7107,2,26,1,29,1
8795,2,26,8,9,1
3314,1,24,7,13,1
11568,2,18,5,3,1
4476,1,23,8,32,1
14408,2,18,2,28,1
7155,2,22,8,21,1
10200,1,23,6,7,1
10813,2,26,8,6,0
6044,1,19,3,9,1
6449,1,21,4,21,1
7535,2,26,1,20,1
4585,1,21,7,13,0
3980,1,18,6,25,1
14002,2,24,2,21,0
7484,1,19,7,31,0
4470,2,22,7,15,1
9952,1,25,1,31,1
8948,2,26,1,35,0
6315,2,23,3,37,0
13197,2,23,7,25,0
11237,1,18,2,14,0
14298,2,21,8,1,1
4665,1,19,8,32,1
13062,1,25,4,15,0
13626,2,19,8,33,1
5782,2,18,2,23,1
5920,1,26,2,25,0
6981,2,19,6,1,0
6906,1,22,2,20,0
3259,1,19,3,21,0
8414,2,25,3,6,1
13401,1,22,1,27,0
14935,1,21,3,36,0
10206,1,18,3,1,0
10094,1,24,4,32,0
3133,2,19,8,13,0
12187,2,18,3,13,0
3884,2,23,1,36,1
4887,2,19,6,40,0
6437,1,23,2,24,0
10766,2,18,4,28,0
5796,1,18,6,9,0
13865,2,21,6,16,0
10081,2,25,6,15,1
7994,1,23,8,11,1
9945,2,24,4,30,0
3295,1,23,1,30,1
7158,2,24,2,34,0
12875,2,21,8,16,1
10929,1,19,4,15,1
12318,1,26,1,20,0
11563,2,24,8,18,1
5801,1,21,2,21,0
14144,1,24,8,7,1
8810,2,25,6,17,0
10273,1,25,2,29,0
6843,2,20,5,21,1
7991,1,18,8,20,1
4724,2,22,5,34,0
13195,2,20,3,3,0
9153,2,24,4,24,0
9444,1,25,3,20,0
9414,1,19,1,23,1
11558,1,19,6,23,1
7824,1,22,7,11,0
10763,1,25,1,32,0
10793,1,21,2,3,0
3425,1,24,1,3,0
13779,1,22,8,35,0
5409,1,25,2,26,0
10359,2,26,6,28,1
9095,2,23,6,19,1
4271,1,19,1,28,1
4518,1,22,1,24,0
10086,1,24,5,18,1
10488,2,22,8,9,0
9619,2,24,1,35,1
