wage,costliving,gender,age,branch,userexperience
9005,1224,2,17,2,65
10753,1627,2,17,1,58
13696,1917,2,21,2,72
9557,657,2,19,1,45
10646,680,1,19,2,2
4966,913,1,17,1,78
8372,1142,1,19,2,43
8375,1321,1,21,1,48
7969,1126,1,20,1,90
8082,818,2,18,1,27
3067,629,2,17,1,27
7681,1946,1,20,1,80
6686,695,2,17,2,61
4219,1810,1,17,2,6
14733,1368,2,21,2,13
14281,640,2,18,2,25
12191,1834,1,20,1,100
4982,966,1,18,1,79
10820,1391,2,17,1,85
3782,2088,2,17,2,41
3741,1810,2,18,2,53
4412,1252,2,20,1,43
13927,1804,1,17,2,85
4413,1926,2,18,1,12
10186,1844,2,19,2,4
13862,1522,1,19,1,43
12113,1423,2,17,2,88
8986,612,1,19,1,100
11046,1288,2,18,2,63
5984,1201,2,18,2,36
3065,1057,1,20,1,41
8320,1941,2,21,2,94
12351,636,1,19,2,33
3877,1771,1,18,1,85
12350,1688,2,19,2,62
14884,776,2,18,1,44
5400,707,2,19,1,32
9262,871,2,21,1,19
10663,1461,2,21,1,94
7933,1084,2,18,1,84
5192,1892,1,18,1,17
9665,2028,2,18,2,59
5013,1393,2,17,1,54
11854,1579,2,17,1,87
6278,1752,1,19,2,42
3275,1152,1,21,2,47
7370,2079,2,18,1,98
4387,1328,2,17,1,38
6978,1364,2,20,2,7
6150,829,2,21,1,73
9560,1189,2,21,1,61
6650,641,1,17,1,21
4088,701,2,20,1,56
12337,789,2,20,2,47
8796,1357,1,19,2,84
3675,709,2,19,2,91
8909,655,1,20,1,1
3031,738,1,20,1,85
9182,623,1,19,2,37
12147,1777,2,18,1,56
14583,1800,2,20,2,38
5074,1013,2,20,1,7
7828,1639,2,20,1,63
12608,1509,1,18,2,95
3295,700,1,18,2,75
5844,1467,1,20,1,43
7552,1548,2,17,2,28
6525,1831,1,19,2,25
3901,1395,1,18,2,32
10348,1414,1,21,2,31
7970,1577,2,20,2,40
8284,1980,1,21,2,24
12602,959,1,18,1,21
8274,1888,1,21,1,86
5071,1334,2,21,2,14
9372,1885,1,19,1,82
4476,1713,1,20,2,52
4669,1574,1,17,2,84
12628,1225,2,19,1,83
6269,1002,1,18,2,59
12374,894,1,19,1,75
13542,2095,1,19,2,50
10308,1725,1,19,2,14
5509,2095,2,21,2,17
11551,1205,2,21,1,8
4011,670,1,19,2,83
6935,924,2,19,1,53
4157,1011,1,19,1,25
6549,656,2,18,1,84
9314,1736,1,17,1,12
4725,1607,1,19,2,79
13052,851,1,17,2,75
14134,944,2,18,1,47
14143,724,2,17,2,38
9992,664,2,19,1,13
10933,1557,2,21,1,70
14617,1480,2,18,2,65
3556,774,2,20,2,85
12040,642,2,18,1,58
14006,2040,1,21,1,40
3447,1966,2,19,2,33
8319,1541,1,18,1,5
10880,833,1,18,2,5
5988,1507,2,21,2,57
7750,1652,1,18,1,14
4170,1089,2,21,2,87
5582,1469,1,17,2,23
9371,1057,2,17,2,36
12632,1488,2,18,2,41
5858,1385,2,17,2,9
8412,1716,1,18,1,68
8119,1443,1,21,1,18
7753,1882,1,18,2,65
11187,1394,1,20,1,77
5885,618,2,18,2,39
3380,1043,2,17,1,46
9989,1418,2,18,2,92
4516,1217,1,21,1,55
8378,747,2,19,2,3
14089,1581,2,17,1,43
11732,661,2,18,1,82
12563,1278,2,19,1,48
12394,1294,1,19,2,91
6586,1349,1,20,2,27
14474,1303,2,18,1,100
11659,1216,1,17,2,36
5088,1354,2,21,1,99
12969,1671,2,18,2,88
12084,1467,2,19,2,89
13770,692,1,20,2,92
4061,664,1,18,2,29
9137,830,1,21,1,92
6175,2083,2,20,2,76
9039,763,1,21,1,16
12084,780,2,17,1,15
10855,2003,1,19,2,14
3551,1857,1,19,2,74
8958,1550,2,18,2,1
10490,1072,1,19,2,53
5556,792,2,17,1,51
13952,1979,2,21,2,52
8209,1417,2,21,2,47
14547,1905,2,17,2,32
13363,2024,1,17,1,13
12580,1847,1,17,2,17
12846,692,2,18,1,15
6845,876,1,21,1,19
10014,1389,1,17,2,31
7869,1076,2,21,1,57
10312,1052,2,17,2,33
6811,1315,1,20,2,32
6559,1140,1,19,1,69
6600,1259,2,19,1,56
13211,2036,1,19,2,26
4096,737,1,17,1,46
4618,1857,2,20,2,33
12130,879,1,20,2,69
5934,1602,2,18,2,78
10712,1359,2,18,2,98
6698,2015,1,20,1,65
3712,883,1,21,2,30
13730,1040,2,18,1,99
7324,1407,2,17,2,44
8418,1241,1,21,2,15
4777,1236,1,19,2,43
7751,734,1,21,2,91
6407,1728,1,21,1,26
4913,1964,1,21,2,98
7909,643,2,21,1,29
12161,1891,1,20,1,49
13020,1729,1,18,2,9
10728,1699,1,17,2,82
