wage,costliving,gender,age,branch,userexperience,city,competence,merite
8501,1190,2,18,1,55,4,2,4
9246,895,1,18,1,86,1,2,1
5994,2086,1,18,2,32,4,2,2
14692,868,1,17,1,47,4,4,1
14940,1274,1,19,2,22,3,1,2
10371,1542,1,18,1,12,4,2,3
13725,1662,2,20,2,92,2,2,2
10319,1088,1,18,2,28,5,3,4
8808,1960,1,19,1,99,4,2,2
11781,856,1,17,1,14,4,1,1
4744,1047,1,21,1,59,3,1,4
9331,1130,1,20,2,36,6,1,2
14133,1627,2,17,1,90,6,1,3
8824,1914,2,17,1,13,2,4,2
8701,2038,2,21,2,99,5,1,3
8748,1833,1,19,2,51,5,3,4
10592,1042,1,20,2,74,2,1,2
11737,1077,2,18,2,65,4,4,1
14610,968,2,17,1,60,1,2,1
12545,1418,1,20,1,23,6,4,1
13423,1726,2,17,2,15,3,1,3
8183,1945,1,19,1,1,2,4,2
5579,1069,2,21,1,11,4,1,4
13008,1944,2,20,2,67,2,4,1
12488,1484,2,18,1,19,1,3,2
12236,1108,1,17,2,24,4,3,2
14608,893,2,18,1,18,4,3,4
4543,1232,1,19,1,53,4,4,3
12559,674,2,19,1,65,6,4,1
11268,1507,1,18,2,95,5,2,3
13561,954,2,17,1,86,6,3,2
11559,964,1,20,2,76,5,2,2
8300,1436,1,17,2,85,5,1,2
7154,732,1,21,2,36,2,1,1
9343,1912,1,19,1,76,4,1,2
11589,1471,2,18,1,51,6,4,3
14029,1180,1,20,2,89,3,3,1
10050,1811,2,17,1,56,1,4,1
10002,1848,2,19,2,48,4,4,1
13331,772,1,19,2,21,6,3,4
9402,1509,1,20,2,49,1,2,2
6467,1471,1,20,1,67,6,3,4
13863,1166,2,20,2,29,6,1,3
5963,1472,2,17,2,93,2,2,2
8879,1721,1,20,1,61,6,3,3
13529,1329,1,21,1,88,2,1,2
13623,1000,2,18,1,23,5,4,4
11823,2014,2,17,2,95,1,3,3
6635,1411,1,17,2,48,3,4,1
13873,1823,2,19,1,11,1,2,4
13917,624,2,19,1,73,3,4,3
6550,710,2,17,2,93,3,1,3
4647,2073,2,17,1,71,3,2,4
6052,1020,2,21,1,52,3,3,4
14517,679,1,21,2,97,6,3,1
7232,1969,1,18,2,99,3,4,2
4333,793,1,17,2,37,3,1,1
10385,1607,2,21,2,73,2,3,2
10254,1317,2,21,1,51,1,2,1
12267,1978,2,21,2,72,1,2,4
5584,1345,2,19,1,54,2,4,1
12424,1116,2,19,1,36,3,4,1
8477,1287,2,20,2,63,6,4,3
10858,1774,2,21,1,11,1,3,2
11416,1417,1,21,1,24,4,1,3
9213,1881,1,17,1,14,3,1,1
8172,1871,1,21,1,10,4,3,2
4051,1953,1,19,1,6,3,3,2
8596,1469,2,17,2,63,4,4,1
9819,1061,2,21,1,41,5,4,3
6643,1111,2,20,2,19,2,3,1
14861,723,2,19,2,55,2,2,4
14492,790,2,21,2,12,1,4,3
14971,1641,1,19,1,80,4,1,3
7267,1542,1,19,1,65,2,3,4
14569,1665,1,19,2,75,6,3,2
14869,1173,1,21,1,12,4,2,3
5728,1236,2,18,1,23,4,3,2
10124,1615,2,17,1,30,2,3,1
7847,1456,2,19,2,93,5,1,1
12015,859,1,21,1,6,1,4,1
14796,1738,2,21,1,52,5,4,2
4255,1629,2,19,1,50,5,2,3
7271,1762,1,19,1,49,6,3,3
9659,2089,2,18,2,49,5,3,2
6571,1925,2,21,2,4,3,2,2
13321,1924,1,21,1,33,1,2,1
7710,1597,1,20,2,92,3,2,3
8352,2008,1,20,1,78,2,3,1
12830,2044,2,19,1,20,3,2,4
14323,1457,1,21,1,65,2,3,1
14754,1334,2,17,2,78,1,1,4
7683,695,2,18,2,26,4,1,4
13628,1445,1,20,1,84,3,2,3
9232,623,2,17,1,57,1,1,4
9082,1884,2,18,1,98,5,3,1
9924,1043,2,18,2,69,2,1,2
4230,1347,1,17,2,94,4,1,4
7971,899,2,18,2,17,3,2,1
5973,1939,2,17,2,9,6,4,3
8274,611,1,17,1,1,3,3,3
10299,914,1,21,2,67,1,2,4
10712,1091,2,18,2,57,3,2,4
13083,1205,2,20,2,29,2,1,3
4888,933,1,20,1,80,5,3,2
9116,1350,1,20,1,51,1,4,4
5260,1113,1,20,2,90,3,3,1
6995,1999,1,21,1,65,5,3,3
11108,1595,2,17,2,7,4,3,1
9850,1419,1,20,2,33,3,3,2
11218,1210,1,19,2,47,4,4,1
12771,1554,2,20,1,9,4,4,3
7619,1948,1,20,2,14,6,1,3
4973,1209,1,19,1,33,5,4,3
5531,1403,1,21,1,91,4,2,1
10273,1768,2,20,1,76,3,4,3
