wage,costliving,gender,age,bactype,branch,userexperience
7921,2436,1,21,1,1,17
13920,1646,1,22,1,1,51
14024,2324,1,24,1,1,75
12367,2411,1,20,1,1,56
8001,2275,2,21,1,1,94
10089,2293,1,18,1,1,74
10367,1622,2,20,1,2,58
12094,2300,2,25,1,1,27
13835,2345,1,25,1,1,54
3662,2101,1,20,1,2,46
3835,1601,2,20,1,2,62
14012,1498,2,25,1,1,25
7759,1873,1,19,1,1,39
14177,1465,2,22,1,2,93
6351,1717,2,21,1,1,48
11563,1818,1,25,1,2,30
5005,2122,2,18,1,1,71
11347,2245,1,17,1,1,78
4676,1702,1,22,1,2,31
9129,1522,1,25,1,1,83
7096,1720,2,23,1,1,8
9039,1935,2,18,1,2,90
3017,1771,2,24,1,1,43
6465,2107,1,21,1,1,55
7553,1606,1,23,1,2,2
6805,1456,2,25,1,1,35
3896,2482,2,23,1,2,5
9460,2009,2,18,1,1,42
13195,1710,2,26,1,2,79
12326,1814,1,25,1,1,25
5679,2468,1,23,1,1,4
5467,1651,1,21,1,1,66
10917,1767,1,23,1,1,33
13432,2425,2,18,1,1,15
14368,1456,2,22,1,1,53
12746,1424,2,23,1,1,39
8606,1931,1,19,1,1,84
14986,1896,2,25,1,2,61
5774,2234,2,25,1,1,70
9944,1437,1,23,1,1,25
4810,1742,2,17,1,2,25
14014,2233,2,19,1,2,86
13041,1521,2,23,1,2,17
9274,2125,1,23,1,2,65
14840,1493,2,25,1,2,80
3714,2165,1,22,1,2,41
3810,1692,1,25,1,2,14
6443,2040,1,22,1,1,20
10886,1830,1,26,1,1,72
5125,2091,1,25,1,2,76
13881,1496,1,18,1,2,10
8454,2378,2,17,1,1,76
3069,1414,2,22,1,1,92
7242,2201,1,19,1,2,66
8260,1438,1,21,1,1,65
10473,1474,1,19,1,2,27
9423,1484,1,21,1,1,47
10777,1542,1,21,1,1,92
5793,2491,1,20,1,2,93
13862,2402,1,19,1,2,23
7023,2376,2,22,1,1,65
5761,2008,1,25,1,2,55
9917,2138,2,23,1,1,39
9520,1847,1,26,1,1,35
3188,1919,2,24,1,1,99
8267,2113,1,26,1,2,95
6527,2244,1,21,1,1,98
10921,1642,2,19,1,2,34
8359,2468,1,17,1,2,21
7521,1848,1,22,1,2,61
11778,1910,2,24,1,1,10
10024,1502,1,18,1,1,43
13437,1524,2,21,1,2,42
9221,1518,1,26,1,2,87
9522,1701,2,19,1,2,88
8243,1556,2,18,1,1,8
4879,1479,1,17,1,2,17
10686,1982,2,24,1,2,7
14369,1942,2,26,1,1,16
13612,1511,2,24,1,2,60
13977,2023,1,24,1,1,38
11306,2254,1,25,1,1,93
3669,2125,1,17,1,1,12
12391,2156,2,21,1,2,28
8972,2423,2,22,1,2,70
13866,1994,2,26,1,2,37
4974,1902,2,20,1,1,14
10749,2294,1,22,1,2,73
10473,2014,1,20,1,1,89
3150,1545,1,18,1,2,85
14888,2043,2,25,1,1,36
3815,1853,1,19,1,1,23
3662,1899,1,24,1,1,75
7690,1459,2,19,1,1,34
14834,2423,2,19,1,1,79
8008,1424,1,26,1,2,28
5773,1678,2,26,1,1,13
6198,1407,2,17,1,1,91
13545,2336,1,26,1,1,2
12136,2312,1,18,1,1,51
11156,1412,2,17,1,2,2
13072,2395,1,25,1,1,22
13733,2281,2,23,1,2,51
11255,1433,2,21,1,2,1
12152,2083,1,25,1,2,41
7067,1872,1,25,1,2,14
13750,1717,2,26,1,2,9
9115,1447,1,25,1,2,63
7168,2011,2,19,1,2,88
3460,1696,1,23,1,2,18
9749,2259,2,24,1,2,70
14107,2246,2,20,1,2,39
7742,1855,1,26,1,2,95
3048,2421,2,21,1,1,79
6521,2096,2,25,1,2,59
