gender,age,city,institution,userexperience
6,22,4,28,398
6,21,7,40,291
15,26,14,9,829
4,20,20,4,517
2,26,19,11,470
3,24,6,50,553
3,25,11,54,412
11,22,12,42,748
14,23,19,8,366
6,25,17,18,65
11,23,11,11,52
2,21,12,53,571
12,26,5,43,973
10,23,2,60,98
8,25,16,5,668
10,25,18,24,937
12,21,17,57,79
16,21,5,55,288
3,22,14,46,893
19,21,16,3,960
14,24,8,12,713
20,20,20,13,339
16,26,16,34,984
16,18,20,42,898
20,21,8,38,706
4,18,16,22,515
14,24,1,57,571
13,21,19,35,777
9,24,10,17,792
6,26,20,39,210
20,26,11,15,50
12,18,16,52,791
5,26,2,53,28
10,19,11,28,936
15,20,2,30,538
4,24,6,33,734
3,22,9,44,883
11,25,20,2,402
14,21,4,36,575
15,25,14,10,728
20,22,14,19,507
10,24,2,6,747
8,19,20,50,304
17,18,5,46,295
15,22,15,38,260
17,20,9,32,189
14,22,7,4,829
6,21,16,48,157
16,18,18,33,298
11,22,6,16,58
2,19,1,8,437
18,20,8,60,445
20,22,17,44,527
13,21,6,55,81
5,23,3,10,10
1,25,9,35,317
8,22,11,24,920
14,25,11,17,167
11,19,15,10,149
2,24,17,49,538
9,18,4,4,434
2,20,8,1,153
13,20,9,5,423
17,21,3,36,954
14,23,16,10,945
14,18,10,8,782
4,23,19,5,503
12,19,18,42,635
20,20,13,8,933
13,25,2,29,331
8,23,11,8,410
17,19,9,20,34
2,25,14,21,804
14,21,10,39,553
1,22,1,22,81
11,24,8,54,990
5,22,18,56,587
9,22,19,3,137
6,19,8,51,669
17,23,10,17,3
20,25,9,11,242
15,25,12,27,874
13,18,18,5,922
10,21,20,24,589
6,26,12,28,581
13,25,10,58,827
16,19,14,24,699
16,21,15,6,628
8,20,8,8,796
3,24,2,4,102
9,24,2,11,903
10,22,1,4,778
16,26,17,1,595
10,26,15,14,29
13,21,11,59,289
18,21,11,17,743
15,22,11,26,277
16,24,10,32,324
16,18,14,21,289
15,18,8,16,555
2,24,8,13,259
13,25,9,5,933
8,18,9,43,873
6,23,5,21,460
11,21,16,56,983
20,24,2,30,414
18,25,3,24,862
19,26,13,12,699
17,21,10,21,806
9,24,16,27,513
2,24,9,2,829
16,26,7,19,635
12,25,6,18,148
16,25,13,28,808
12,22,10,52,790
17,24,7,17,810
10,25,11,51,880
20,24,3,54,417
6,23,13,30,825
5,19,6,38,636
7,19,12,23,637
5,21,15,35,359
13,19,12,52,806
18,24,10,31,277
13,19,8,39,842
11,18,2,2,794
5,25,11,8,764
5,26,3,15,507
5,21,20,38,813
9,22,11,59,679
20,24,8,56,303
12,26,11,59,806
3,22,10,41,785
6,22,12,25,319
19,22,20,10,614
7,23,3,60,329
3,26,17,45,33
18,21,14,29,801
15,23,11,9,831
16,21,10,37,906
8,25,15,2,995
4,23,12,16,696
15,25,14,55,280
8,26,19,38,513
7,18,16,5,461
1,19,6,6,823
4,23,16,7,539
20,24,3,55,284
18,18,14,13,229
5,22,16,19,557
18,21,9,45,104
12,18,18,51,9
3,25,12,29,956
11,25,14,5,105
9,20,17,48,610
14,23,15,22,600
10,22,4,35,917
1,23,10,51,613
17,22,14,48,577
14,24,20,29,82
11,23,3,59,704
2,21,4,27,537
16,18,7,32,233
10,24,8,3,634
14,18,16,7,102
17,25,20,51,572
11,18,10,44,641
14,26,10,41,642
20,21,8,16,879
19,24,16,14,6
14,21,11,9,305
2,25,1,32,180
18,19,10,42,491
2,18,20,37,990
10,24,17,28,665
16,25,15,14,551
3,18,3,15,813
19,26,12,54,949
18,18,3,5,214
4,24,10,45,560
1,22,3,36,850
7,18,1,53,272
8,26,7,9,260
4,23,20,58,353
1,22,7,6,604
16,19,9,30,2
16,19,19,37,903
17,20,19,3,520
5,24,5,17,375
16,26,20,26,838
13,21,4,2,600
11,23,16,46,923
10,24,3,39,58
15,19,15,16,534
7,18,19,60,936
15,26,14,45,315
15,25,15,33,122
20,24,16,27,833
19,19,18,50,604
8,22,12,37,533
4,24,19,30,293
13,18,1,34,679
19,20,2,41,498
20,26,6,25,564
5,25,8,47,884
11,22,18,12,488
16,26,20,5,799
8,22,10,38,715
3,19,5,49,106
7,19,15,57,378
19,23,17,20,703
8,24,13,24,178
8,25,19,33,61
20,26,16,48,473
15,25,15,34,345
5,18,13,1,48
7,19,7,49,308
11,24,8,4,474
16,22,2,52,136
17,23,13,47,520
4,21,12,23,345
3,23,17,4,500
4,19,18,55,756
13,25,6,2,286
3,25,9,19,733
2,19,7,11,770
19,20,13,39,736
14,25,2,59,21
17,23,5,57,394
14,22,5,42,609
11,24,11,38,288
6,25,4,39,433
16,19,5,51,981
2,25,10,5,200
15,23,16,43,700
15,24,6,53,941
13,22,11,4,150
18,23,6,26,431
15,22,8,43,646
14,20,5,32,404
5,18,15,34,71
10,22,10,52,469
6,23,9,41,517
9,26,16,59,839
2,20,3,33,957
5,18,4,6,133
18,18,18,17,644
19,24,6,2,788
10,18,18,52,455
17,22,20,9,169
17,25,3,4,166
11,24,2,17,369
14,21,5,20,71
16,26,8,12,114
4,23,4,49,583
4,23,2,20,226
4,25,16,32,342
10,25,9,52,933
