gender,age,city,institution,userexperience
17,22,2,10,861
16,26,1,20,553
2,19,7,15,173
10,26,8,9,119
4,19,1,35,771
5,24,17,44,62
20,26,20,53,272
6,23,9,42,316
10,20,5,52,273
4,21,3,26,651
13,22,17,56,365
12,23,13,59,807
1,22,7,6,353
3,22,11,18,720
8,24,20,3,33
12,20,2,50,883
7,23,13,18,508
15,18,7,20,483
1,21,4,52,799
1,25,4,5,950
12,25,11,45,8
6,23,18,17,249
2,22,13,14,135
13,21,16,57,101
7,20,9,35,382
17,26,15,7,532
11,24,6,58,677
7,25,17,29,878
4,18,6,24,223
4,20,13,25,251
17,25,12,15,507
9,26,8,53,847
7,26,5,41,251
19,18,4,43,931
20,18,5,40,829
19,18,4,50,593
20,26,6,22,897
18,22,5,8,784
20,25,13,4,737
7,26,7,49,868
18,21,14,28,172
18,24,11,48,944
4,22,15,10,62
15,19,6,54,231
2,23,12,34,628
18,20,13,54,103
18,18,2,47,565
20,19,8,8,479
20,19,16,23,475
5,24,7,8,924
10,20,20,36,558
7,21,13,20,923
13,26,9,25,552
9,26,4,11,777
15,26,9,13,877
3,26,13,31,71
7,24,10,2,532
15,20,20,23,818
1,24,19,7,893
12,20,15,16,410
10,22,4,1,811
17,24,3,15,325
20,24,19,19,802
10,21,11,4,521
19,22,11,17,49
15,25,2,20,832
12,23,11,57,199
5,23,3,4,577
1,26,14,57,575
16,23,19,24,478
3,19,14,28,447
3,22,2,41,457
11,20,4,54,946
5,26,15,14,768
15,20,19,36,474
16,25,5,58,295
16,23,18,56,78
9,24,14,24,489
3,24,16,17,602
15,19,17,15,448
3,24,12,36,898
7,21,2,47,372
7,20,2,30,713
16,19,14,6,386
1,20,7,59,567
6,26,17,1,378
10,22,16,10,398
20,25,8,49,751
17,22,8,38,139
3,25,3,15,379
4,21,15,10,560
18,19,13,37,570
17,20,9,8,123
2,19,3,25,223
11,18,17,42,93
2,23,1,8,968
14,25,3,24,812
2,18,11,34,202
3,21,18,51,646
15,21,18,29,282
7,19,13,15,723
1,22,17,9,579
15,20,12,29,997
10,21,15,12,627
20,21,12,41,126
4,21,15,5,537
17,22,20,50,489
20,26,18,18,219
17,20,20,18,534
19,21,5,33,873
18,20,13,56,316
19,19,12,27,430
16,19,11,44,318
16,20,8,6,360
9,20,12,56,147
1,22,13,19,972
16,19,6,60,683
18,23,14,52,425
3,23,3,45,412
6,21,3,49,876
12,18,6,46,28
9,22,1,20,889
5,20,6,26,264
17,26,10,44,587
14,20,19,60,456
19,18,12,35,278
19,22,18,52,310
18,26,18,34,681
3,18,4,13,577
19,18,12,4,331
6,22,18,18,853
7,23,15,12,820
10,20,16,15,540
11,25,17,50,745
17,24,14,42,855
19,20,2,39,21
7,20,18,50,753
17,23,17,56,479
16,24,19,17,845
19,22,16,17,436
5,22,9,49,294
20,24,16,31,665
16,18,11,36,852
20,22,7,55,544
12,22,13,49,248
15,24,14,34,1
18,20,6,37,642
7,25,7,7,320
9,26,13,1,494
20,23,18,57,911
5,23,13,24,559
15,22,17,43,358
3,22,18,5,604
15,20,5,19,5
6,20,10,6,364
18,18,14,28,643
7,24,5,1,293
1,19,7,36,879
17,19,1,50,241
15,26,6,36,728
9,18,12,14,548
6,19,18,46,293
