gender,age,city,institution
3,22,4,7
18,24,5,3
18,19,5,2
16,26,3,4
16,23,8,25
3,22,2,33
14,21,2,2
11,24,6,8
12,20,2,22
8,24,4,31
13,18,6,39
1,23,2,34
8,25,3,8
11,22,2,35
20,19,4,34
1,23,3,2
9,21,4,21
9,19,1,11
17,21,5,17
20,24,8,4
8,25,6,30
9,24,1,21
14,19,3,1
13,26,4,32
6,21,2,33
18,24,4,15
12,23,8,20
19,24,2,22
12,19,5,28
7,24,3,36
15,24,7,26
1,23,5,36
4,23,6,17
12,25,1,24
14,18,1,36
19,23,6,24
13,23,7,27
4,26,6,19
17,23,5,13
15,19,7,38
4,18,6,5
19,19,6,13
6,26,8,5
10,19,6,17
17,24,5,2
6,20,2,27
9,24,4,31
3,26,2,26
11,20,3,3
2,18,2,17
11,21,5,13
6,21,3,8
16,25,3,32
4,23,6,19
9,19,8,32
9,24,8,18
2,25,8,21
17,24,5,5
13,22,3,37
3,24,1,3
15,20,3,32
2,19,4,19
15,19,3,13
15,25,8,2
11,20,1,17
19,25,5,22
14,20,8,21
7,22,7,31
7,25,2,37
2,19,3,17
3,23,6,37
10,24,2,1
6,21,8,25
7,20,6,40
14,22,1,21
7,19,6,27
1,19,3,24
5,20,7,11
13,21,4,6
19,23,2,3
15,25,3,6
4,21,5,13
1,22,1,40
14,24,6,40
10,23,4,18
14,20,1,14
10,25,5,13
3,24,2,33
12,18,5,22
11,26,2,17
19,22,6,18
19,18,5,15
6,18,4,27
16,20,5,13
4,22,8,11
1,21,5,36
14,22,1,38
8,23,3,22
19,23,1,1
11,24,5,8
5,21,6,16
12,21,6,9
19,23,8,24
5,18,5,28
2,26,1,17
2,25,1,9
18,22,5,20
10,26,8,31
2,19,7,4
14,22,3,10
8,25,6,40
17,19,1,39
9,24,4,20
9,24,3,17
9,20,6,7
20,22,2,2
18,23,5,34
15,22,6,14
16,25,4,11
20,19,4,19
9,18,6,40
9,22,6,37
9,23,4,24
13,26,6,39
6,19,1,20
2,26,1,22
12,18,7,20
2,25,2,31
3,21,3,24
7,18,6,40
9,24,8,4
4,22,3,24
19,21,1,16
17,21,2,36
13,26,3,14
3,20,6,22
3,19,3,18
17,26,7,5
20,24,4,36
7,24,8,34
12,20,4,33
9,26,1,23
20,25,8,35
16,19,6,23
8,24,6,5
16,19,7,27
16,25,1,37
14,25,3,40
13,24,4,8
15,18,3,17
20,25,7,8
20,21,6,26
7,26,3,16
18,18,4,35
2,23,6,38
18,18,1,24
18,20,6,23
11,20,7,2
8,21,8,26
2,25,6,3
19,20,2,28
9,19,6,18
9,26,3,13
13,18,7,3
4,21,2,17
20,19,5,21
5,22,8,13
15,23,7,15
10,19,8,39
16,24,6,36
1,24,5,8
15,24,6,30
17,23,4,40
16,22,1,31
12,18,2,2
3,24,4,25
12,19,2,7
18,25,5,13
15,25,3,26
7,26,8,9
19,23,7,20
1,23,5,16
17,18,2,18
4,22,2,19
4,26,2,5
1,26,3,33
14,21,1,34
5,24,8,38
17,26,1,37
10,18,8,17
2,22,8,40
4,21,7,13
13,24,7,1
3,25,3,21
18,18,1,23
16,23,5,20
4,18,7,10
13,19,3,20
19,25,7,21
17,20,1,19
6,21,6,7
16,22,5,38
11,23,5,5
20,25,4,22
6,20,7,30
14,25,5,18
14,22,8,20
6,23,2,27
20,19,7,28
14,21,6,24
20,20,4,40
15,24,3,14
17,18,4,29
18,18,3,25
12,24,6,39
6,24,2,23
7,26,5,22
4,22,6,1
5,22,5,21
7,23,8,30
17,20,4,33
19,19,8,35
9,25,4,35
18,23,1,21
10,20,6,13
8,21,6,4
5,25,7,36
1,19,1,31
11,23,5,7
13,20,6,25
3,18,8,6
15,25,3,21
15,22,8,5
18,23,5,31
19,19,7,5
6,26,6,28
12,18,5,7
8,25,3,34
1,25,4,11
13,25,2,39
7,26,8,36
15,25,2,29
4,25,3,25
19,22,4,25
1,22,2,20
9,22,3,36
2,24,7,38
19,24,8,11
15,26,4,10
1,22,5,17
17,23,6,35
7,25,1,30
2,25,7,39
7,25,4,7
9,18,1,4
10,20,3,9
11,19,4,14
9,19,1,31
13,22,7,8
20,23,6,17
9,25,7,5
18,26,7,29
16,24,5,35
12,22,5,27
2,25,1,36
11,24,6,2
11,26,8,3
8,19,8,28
10,21,1,31
11,21,3,33
17,23,3,18
17,22,2,24
4,25,7,20
10,26,1,26
8,24,2,33
19,21,7,39
17,25,2,27
7,20,2,4
1,20,2,32
2,19,1,1
13,21,8,28
2,25,4,22
9,22,3,35
20,19,3,38
5,24,7,21
10,20,4,39
2,24,8,26
3,20,2,23
4,21,5,32
10,22,6,2
7,24,7,24
20,22,7,27
7,22,6,20
3,24,2,29
13,25,7,21
8,21,6,12
2,21,7,4
18,18,8,20
20,26,3,5
15,19,7,34
11,26,6,7
11,22,3,40
19,20,6,16
9,22,6,8
