Tuition,ParentWage,CanAfford
30000,13984,1
30000,3582,0
30000,6441,0
30000,9817,1
30000,11745,1
30000,3746,0
30000,10531,1
30000,10424,1
30000,6698,0
30000,10608,1
30000,8585,1
30000,8887,1
30000,6686,0
30000,3466,0
30000,8222,0
30000,6981,0
30000,6659,0
30000,4407,0
30000,6037,0
30000,8364,1
30000,5695,0
30000,13712,1
30000,10885,1
30000,3164,0
30000,3751,0
30000,13867,1
30000,12319,1
30000,7639,0
30000,5647,0
30000,12443,1
30000,13665,1
30000,3826,0
30000,7310,0
30000,5285,0
30000,4525,0
30000,10124,1
30000,12259,1
30000,7051,0
30000,9914,1
30000,3999,0
30000,4068,0
30000,7782,0
30000,7240,0
30000,6648,0
30000,12927,1
30000,3430,0
30000,3591,0
30000,9221,1
30000,4941,0
30000,9096,1
30000,6565,0
30000,7209,0
30000,3200,0
30000,10638,1
30000,6427,0
30000,11985,1
30000,5356,0
30000,13172,1
30000,7833,0
30000,5393,0
30000,7350,0
30000,8503,1
30000,6530,0
30000,6504,0
30000,12491,1
30000,6692,0
30000,13926,1
30000,3413,0
30000,5967,0
30000,9242,1
30000,10072,1
30000,10131,1
30000,12702,1
30000,5319,0
30000,10371,1
30000,12238,1
30000,3767,0
30000,5193,0
30000,13007,1
30000,4664,0
30000,6071,0
30000,3528,0
30000,3516,0
30000,9210,1
30000,9571,1
30000,3233,0
30000,4403,0
30000,12144,1
30000,6745,0
30000,4024,0
30000,11863,1
30000,5700,0
30000,4134,0
30000,4558,0
30000,5700,0
30000,12070,1
30000,8312,0
30000,13122,1
30000,10386,1
30000,11319,1
30000,8668,1
30000,6841,0
30000,13673,1
30000,10667,1
30000,4381,0
30000,7750,0
30000,12815,1
30000,11905,1
30000,6717,0
30000,3433,0
30000,8632,1
30000,9342,1
30000,4989,0
30000,11420,1
30000,13881,1
30000,6702,0
30000,8500,1
30000,10682,1
30000,6308,0
30000,12270,1
30000,10855,1
30000,3005,0
30000,3374,0
30000,4471,0
30000,8427,1
30000,11912,1
30000,9277,1
30000,4985,0
30000,8332,0
30000,12222,1
30000,13031,1
30000,13593,1
30000,13673,1
30000,12576,1
30000,7417,0
30000,4240,0
30000,7839,0
30000,3385,0
30000,9618,1
30000,6996,0
30000,12214,1
30000,9976,1
30000,9162,1
30000,10034,1
30000,9571,1
30000,8516,1
30000,10084,1
30000,11044,1
30000,3026,0
30000,4778,0
30000,9157,1
30000,5049,0
30000,3486,0
30000,4906,0
30000,6099,0
30000,3684,0
30000,9747,1
30000,10900,1
30000,10367,1
30000,3059,0
30000,12078,1
30000,5847,0
30000,8711,1
30000,8242,0
30000,10198,1
30000,12962,1
30000,4836,0
30000,5329,0
30000,8849,1
30000,3563,0
30000,12889,1
30000,9093,1
30000,4213,0
30000,13485,1
30000,4902,0
30000,8944,1
30000,9086,1
30000,4698,0
30000,10562,1
30000,12387,1
30000,11326,1
30000,13331,1
30000,11694,1
30000,11580,1
30000,11332,1
30000,8252,0
30000,5257,0
30000,8964,1
30000,5124,0
30000,4247,0
30000,13203,1
30000,10721,1
30000,4188,0
30000,6353,0
30000,4390,0
30000,8295,0
30000,5707,0
30000,12067,1
30000,11089,1
30000,3516,0
30000,13347,1
30000,13846,1
30000,6607,0
30000,13088,1
30000,8821,1
30000,8830,1
30000,8634,1
30000,9981,1
30000,12517,1
30000,7162,0
30000,9806,1
30000,12407,1
30000,6335,0
30000,5831,0
30000,13050,1
30000,3583,0
30000,9232,1
30000,7337,0
30000,4304,0
30000,6608,0
30000,10983,1
30000,5631,0
30000,11853,1
30000,7773,0
30000,6359,0
30000,8559,1
30000,3442,0
30000,12115,1
30000,7963,0
30000,8455,1
30000,3142,0
30000,6930,0
30000,3005,0
30000,8671,1
30000,8422,1
30000,10874,1
30000,6020,0
30000,11630,1
30000,9105,1
30000,6585,0
30000,13696,1
30000,3093,0
30000,7403,0
30000,7324,0
30000,11052,1
30000,10904,1
30000,11910,1
30000,4921,0
30000,7326,0
30000,8131,0
30000,9568,1
30000,11507,1
30000,11206,1
30000,13498,1
30000,6252,0
30000,3823,0
30000,4180,0
30000,12889,1
30000,10646,1
30000,9766,1
30000,5171,0
30000,8772,1
30000,13986,1
30000,13742,1
30000,6623,0
30000,8359,1
30000,7503,0
30000,6977,0
30000,3191,0
30000,4670,0
30000,7476,0
30000,8585,1
30000,6927,0
30000,11516,1
30000,3872,0
30000,7489,0
30000,7192,0
30000,5393,0
30000,9609,1
30000,4171,0
30000,8158,0
30000,8135,0
30000,3682,0
30000,6143,0
30000,12120,1
30000,13220,1
30000,13020,1
30000,9001,1
30000,10985,1
30000,11943,1
30000,13509,1
30000,13428,1
30000,10464,1
30000,13874,1
30000,9800,1
30000,13121,1
30000,7608,0
30000,6102,0
30000,3622,0
30000,8899,1
30000,4693,0
30000,13136,1
30000,9641,1
30000,5714,0
30000,6050,0
30000,7645,0
30000,7120,0
30000,6027,0
30000,11601,1
30000,12749,1
30000,6619,0
30000,8832,1
30000,8186,0
30000,8819,1
30000,7913,0
30000,9744,1
30000,9214,1
30000,8809,1
30000,8423,1
30000,10815,1
30000,11675,1
30000,8106,0
30000,9459,1
30000,4021,0
30000,8124,0
30000,10121,1
30000,11997,1
30000,7135,0
30000,13400,1
30000,4273,0
30000,10542,1
30000,8045,0
30000,5940,0
30000,10882,1
30000,3716,0
30000,10481,1
30000,7153,0
30000,9103,1
30000,6551,0
30000,7089,0
30000,11132,1
30000,3302,0
30000,10620,1
30000,4296,0
30000,11292,1
30000,5533,0
30000,12958,1
30000,6183,0
30000,13788,1
30000,9714,1
30000,5960,0
30000,8637,1
30000,12876,1
30000,4829,0
30000,9577,1
30000,13867,1
30000,10518,1
30000,12458,1
30000,13554,1
30000,6334,0
30000,5544,0
30000,10781,1
30000,5842,0
30000,9006,1
30000,4582,0
30000,13294,1
30000,7174,0
30000,10559,1
30000,8716,1
30000,7711,0
30000,6092,0
30000,6350,0
30000,12282,1
30000,13005,1
30000,5687,0
30000,5955,0
30000,8755,1
30000,4748,0
30000,7622,0
30000,3716,0
30000,5618,0
30000,7586,0
30000,5118,0
30000,12203,1
30000,3889,0
30000,9546,1
30000,5318,0
30000,8237,0
30000,8976,1
30000,9775,1
30000,12181,1
30000,11755,1
30000,9661,1
30000,12760,1
30000,11480,1
30000,6858,0
30000,9217,1
30000,10655,1
30000,4513,0
30000,4448,0
30000,9629,1
30000,4104,0
30000,6123,0
30000,6105,0
30000,12596,1
30000,6228,0
30000,10990,1
30000,4715,0
30000,12436,1
30000,11710,1
30000,10900,1
30000,10612,1
30000,11039,1
30000,11012,1
30000,11455,1
30000,7948,0
30000,12388,1
30000,12576,1
30000,11834,1
30000,13765,1
30000,9409,1
30000,13218,1
30000,7301,0
30000,10244,1
30000,7110,0
30000,5199,0
30000,8459,1
30000,9674,1
30000,11908,1
30000,6106,0
30000,9118,1
30000,5577,0
30000,13989,1
30000,4571,0
30000,4048,0
30000,3670,0
30000,5701,0
30000,6649,0
30000,3660,0
30000,6844,0
30000,4330,0
30000,10038,1
30000,8279,0
30000,8958,1
30000,9010,1
30000,5894,0
30000,13094,1
30000,7623,0
30000,3530,0
30000,6759,0
30000,10577,1
30000,12251,1
30000,10482,1
30000,12910,1
30000,12387,1
30000,3444,0
30000,8709,1
30000,9473,1
30000,8305,0
30000,6663,0
30000,5887,0
30000,8746,1
30000,8490,1
30000,6788,0
30000,12469,1
30000,10401,1
30000,12152,1
30000,13818,1
30000,12822,1
30000,5157,0
30000,8628,1
30000,3141,0
30000,9658,1
30000,8685,1
30000,9896,1
30000,8920,1
30000,12877,1
30000,5332,0
30000,9952,1
30000,6855,0
30000,3107,0
30000,9627,1
30000,9861,1
30000,7382,0
30000,6367,0
30000,12009,1
30000,10263,1
30000,11854,1
30000,4964,0
30000,11589,1
30000,12455,1
30000,4583,0
30000,6593,0
30000,8602,1
30000,13126,1
30000,10316,1
30000,4903,0
30000,5903,0
30000,12386,1
30000,3673,0
30000,13383,1
30000,7227,0
30000,4386,0
30000,4607,0
30000,3349,0
30000,3927,0
30000,11202,1
30000,6554,0
30000,8463,1
30000,9251,1
30000,8995,1
30000,7247,0
30000,6968,0
30000,8914,1
30000,10338,1
30000,12645,1
30000,8345,1
30000,8534,1
30000,3972,0
30000,7288,0
30000,3483,0
30000,3762,0
30000,5706,0
30000,13827,1
30000,8140,0
30000,3244,0
30000,4021,0
30000,11435,1
30000,11011,1
30000,6358,0
30000,11360,1
30000,4209,0
30000,11441,1
30000,4551,0
30000,3333,0
30000,11842,1
30000,6996,0
30000,6550,0
30000,7150,0
30000,11975,1
30000,11865,1
30000,4502,0
30000,11222,1
30000,7139,0
30000,7971,0
30000,12726,1
30000,4528,0
30000,6172,0
30000,12737,1
30000,5477,0
30000,3027,0
30000,6212,0
30000,7206,0
30000,12889,1
30000,3737,0
30000,6349,0
30000,4277,0
30000,7792,0
30000,13907,1
30000,13055,1
30000,11106,1
30000,6286,0
30000,5271,0
30000,9269,1
30000,9242,1
30000,12491,1
30000,5755,0
30000,7512,0
30000,9006,1
30000,9318,1
30000,6849,0
30000,3337,0
30000,12234,1
30000,5441,0
30000,3238,0
30000,5078,0
