wage,rent,food,transport,AFFORD
8763,3182,1485,564,1
19990,2869,1478,540,0
11550,2409,1961,542,1
15608,3728,1505,659,0
13650,1857,1287,463,0
12403,3716,1317,574,0
17133,2876,1958,682,1
12489,3199,1249,677,1
11453,3489,1253,569,0
11572,2598,1865,414,1
10794,2908,1898,459,1
16328,1932,1680,632,1
12034,3659,1734,665,1
19201,3601,1890,438,0
11482,2396,1555,626,1
11924,2598,1641,529,0
12669,2222,1893,633,1
17843,2358,1497,487,1
11690,2561,1915,475,1
11520,3298,1935,518,1
8329,2538,1604,538,0
13556,1811,1363,534,0
19543,2348,1938,476,1
14106,2932,1341,585,0
19365,3164,1871,446,0
12061,2144,1528,449,0
14837,3597,1526,680,0
17209,3362,1801,634,0
12175,2705,1229,567,0
17527,2978,1764,447,0
12899,2703,1438,630,1
15958,2076,1842,427,0
14653,3623,1837,467,1
16484,3886,1801,690,0
16330,2103,1974,560,0
14092,3331,1645,574,0
11914,2903,1854,479,0
11892,3035,1228,644,0
19867,2351,1786,662,1
10795,3531,1927,518,1
19618,2808,1724,499,1
18196,2648,1599,629,0
9536,2051,1276,469,1
12408,1918,1769,582,1
15405,2838,1657,664,0
14500,3049,1610,428,1
8972,2536,1582,503,1
9665,1944,1656,585,1
10133,3921,1902,464,0
13858,3976,1828,585,0
8716,3588,1965,486,1
9738,3913,1517,512,1
14979,2781,1545,443,0
11466,3290,1372,616,0
15704,2732,1294,647,1
14953,2101,1543,692,0
10974,3963,1800,617,1
10259,3836,1473,696,1
13538,2659,1640,692,1
9686,3891,1555,636,0
10157,3799,1875,658,0
12657,3066,1517,474,1
12156,3850,1977,524,0
18436,2373,1243,572,0
18679,2935,1279,686,0
11243,1999,1365,424,1
16778,3389,1358,567,1
10123,3389,1746,445,1
14437,2927,1339,549,1
19359,3168,1285,642,0
10444,3927,1577,686,1
17672,2519,1582,430,1
14194,2710,1379,528,0
12161,2852,1979,400,0
11065,3700,1209,623,0
8915,2560,1964,490,0
12105,3627,1512,515,0
18273,2818,1678,528,1
8507,1843,1889,477,0
9468,2757,1744,463,0
8940,3754,1461,456,1
16772,2409,1603,449,1
10140,2667,1569,473,0
17001,3746,1737,432,1
14640,3455,1336,636,0
12028,3349,1220,549,0
15763,2479,1373,486,0
12120,2560,1860,440,0
19413,3198,1487,620,0
15078,3381,1953,522,0
12444,3133,1802,603,0
9731,3747,1872,574,0
9685,3585,1227,471,1
9615,2317,1845,595,1
18442,2422,1202,609,1
16487,2844,1718,508,0
10973,3698,1307,556,1
15793,3734,1810,437,1
13652,3301,1559,683,1
17693,3522,1412,532,1
14113,2451,1951,417,1
9514,3386,1357,615,0
19230,3704,1260,698,0
13462,3293,1721,531,1
17549,2995,1466,698,0
17133,3955,1457,431,1
15934,2936,1338,444,1
